SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_X000000950	SAMEA2619531	ERS488119	TARA_009	TARA_20090928T1218Z_009_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_009_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090928T1218Z_009_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_X000000950	tara_20090923t1506z_007_event_cast	420.7093	P04DT21H11M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000120	SAMEA2620428	ERS489341	TARA_049	TARA_20100423T1010Z_049_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_049_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100423T1010Z_049_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000120	tara_20100423t1029z_049_event_cast	0.013085	P00DT00H18M	1	0.006	0.006	0.006	0.006	0.006	0.096	0.096	0.096	0.096	0.096	0.062	0.062	0.062	0.062	0.062	2.436	2.436	2.436	2.436	2.436
TARA_Y100000100	SAMEA2620373	ERS489274	TARA_046	TARA_20100415T0201Z_046_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_046_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100415T0201Z_046_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000100	tara_20100415t0240z_046_event_cast	0.006677	P00DT00H37M	2	0.004	0.004	0.0045	0.005	0.005	0.099	0.099	0.102	0.105	0.105	0.045	0.045	0.047	0.049	0.049	1.935	1.935	1.947	1.959	1.959
TARA_Y100000074	SAMEA2620286	ERS489169	TARA_043	TARA_20100405T1002Z_043_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_043_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100405T1002Z_043_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000074	tara_20100405t0850z_043_event_cast	0.007384	P00DT01H13M	2	0.003	0.003	0.004	0.005	0.005	0.068	0.068	0.0705	0.073	0.073	0.018	0.018	0.0265	0.035	0.035	1.818	1.818	1.8285	1.839	1.839
TARA_Y100000031	SAMEA2620107	ERS488946	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	270	262	280	0.22	1.6	TARA_039_MES_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MES_(270m)_SEQ-(dry)_W0.22-1.6_Y100000031	"tara_20100320t0817z_039_event_cast,tara_20100318t0956z_039_event_cast"	0.005826-20.854	P00DT00H00M	1	2.074	2.074	2.074	2.074	2.074	2.64	2.64	2.64	2.64	2.64	21.22	21.22	21.22	21.22	21.22	38.62	38.62	38.62	38.62	38.62
TARA_Y100000029	SAMEA2620066	ERS488880	TARA_039	TARA_20100318T0427Z_039_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_039_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100318T0427Z_039_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000029	"tara_20100318t0441z_039_event_cast,tara_20100318t0956z_039_event_cast"	9.9009-14.5118	P00DT00H14M	2	0.005	0.005	0.0065	0.008	0.008	0.233	0.233	0.2335	0.234	0.234	0.034	0.034	0.0425	0.051	0.051	1.435	1.435	1.515	1.595	1.595
TARA_Y100000294	SAMEA2620040	ERS488854	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	340	332	350	0.22	1.6	TARA_038_MES_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MES_(340m)_SEQ-(dry)_W0.22-1.6_Y100000294	"tara_20100316t0859z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast"	1.7801-7.3775	P00DT02H44M	1	0.691	0.691	0.691	0.691	0.691	2.639	2.639	2.639	2.639	2.639	23.43	23.43	23.43	23.43	23.43	38.94	38.94	38.94	38.94	38.94
TARA_Y100000287	SAMEA2620005	ERS488804	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_038_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100315T0335Z_038_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000287	"tara_20100315t0345z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100316t0859z_038_event_cast"	0.2594-13.8812	P00DT00H09M	2	0.014	0.014	0.107	0.2	0.2	0.319	0.319	0.337	0.355	0.355	0.059	0.059	0.4195	0.78	0.78	1.178	1.178	1.278	1.378	1.378
TARA_Y100000022	SAMEA2619936	ERS488723	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_036_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100312T0606Z_036_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_Y100000022	"tara_20100312t0620z_036_event_cast,tara_20100312t1036z_036_event_cast"	0.006379-0.77483	P00DT00H13M	2	0.045	0.045	0.0455	0.046	0.046	0.348	0.348	0.3575	0.367	0.367	0.131	0.131	0.1415	0.152	0.152	1.087	1.087	1.143	1.199	1.199
TARA_A100001388	SAMEA2619808	ERS488551	TARA_031	TARA_20100109T0715Z_031_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_031_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20100109T0715Z_031_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-1.6_A100001388	tara_20100109t1003z_031_event_cast	3.2598	P00DT02H47M	2	0.005	0.005	0.00925	0.0135	0.0135	0.001	0.001	0.01225	0.0235	0.0235	0.03	0.03	0.036	0.042	0.042	0.8165	0.8165	0.8825	0.9485	0.9485
TARA_X000000604	SAMEA2619464	ERS488017	TARA_006	TARA_20090921T1200Z_006_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_006_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090921T1200Z_006_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_X000000604	"tara_20090921t1205z_006_event_cast,tara_20090920t1558z_005_event_cast"	0.02263-69.3706	P00DT00H05M	5	0.0055	0.0095	0.0215	0.031625	0.035	0.06225	0.065	0.0925	0.151312	0.1645	0.1685	0.21225	0.3435	2.5785	3.3235	0.47775	0.58025	0.891375	1.2235	1.333
TARA_Y200000002	SAMEA2619388	ERS487911	TARA_004	TARA_20090915T1130Z_004_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_004_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090915T1130Z_004_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_Y200000002	tara_20090920t1558z_005_event_cast	196.922	P05DT04H28M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y200000001	SAMEA2619371	ERS487894	TARA_003	TARA_20090913T1200Z_003_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_003_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090913T1200Z_003_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_Y200000001	tara_20090920t1558z_005_event_cast	543.0922	P07DT03H58M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_A200000159	SAMEA2591074	ERS477953	TARA_007	TARA_20090923T1608Z_007_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	42	37	47	0.22	1.6	TARA_007_DCM_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090923T1608Z_007_EVENT_PUMP_DCM_(42m)_SEQ-(dry)_W0.22-1.6_A200000159	tara_20090923t1506z_007_event_cast	3.6736	P00DT01H01M	1	0	0	0	0	0	0.0065	0.0065	0.0065	0.0065	0.0065	0.028	0.028	0.028	0.028	0.028	0.4985	0.4985	0.4985	0.4985	0.4985
TARA_A200000113	SAMEA2591057	ERS477931	TARA_007	TARA_20090923T1250Z_007_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	9	3	15	0.22	1.6	TARA_007_SRF_0.22-1.6	SEQ-(dry)_W0.22-1.6	TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(dry)_W0.22-1.6_A200000113	tara_20090923t1506z_007_event_cast	3.4835	P00DT02H16M	2	0.003	0.003	0.0445	0.086	0.086	0.0385	0.0385	0.0475	0.0565	0.0565	0.027	0.027	0.14325	0.2595	0.2595	0.521	0.521	0.7935	1.066	1.066
