SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_B100000161	SAMEA2620339	ERS489236	TARA_045	TARA_20100413T0321Z_045_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_045_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100413T0321Z_045_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_B100000161	tara_20100413t0322z_045_event_cast	0.19011	P00DT00H00M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000131	SAMEA2620259	ERS489134	TARA_042	TARA_20100404T0950Z_042_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	0.22	1.6	TARA_042_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100404T0950Z_042_EVENT_PUMP_DCM_(80m)_SEQ-(100L)_W0.22-1.6_B100000131	"tara_20100404t0908z_042_event_cast,tara_20100404t0316z_042_event_cast"	0.57296-3.7685	P00DT00H44M	2	0.152	0.152	0.152	0.152	0.152	0.159	0.159	0.2505	0.342	0.342	0.097	0.097	0.741	1.385	1.385	2.268	2.268	2.7335	3.199	3.199
TARA_B100000123	SAMEA2620230	ERS489087	TARA_042	TARA_20100404T0247Z_042_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_042_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100404T0247Z_042_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_B100000123	"tara_20100404t0316z_042_event_cast,tara_20100404t0908z_042_event_cast"	0.66652-3.4739	P00DT00H26M	2	0	0	0.001	0.002	0.002	0.069	0.069	0.0765	0.084	0.084	0.018	0.018	0.022	0.026	0.026	2.137	2.137	2.171	2.205	2.205
TARA_B100000287	SAMEA2620217	ERS489074	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.22	1.6	TARA_041_DCM_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000287	"tara_20100330t0848z_041_event_cast,tara_20100330t0257z_041_event_cast"	0.72154-5.768	P00DT02H09M	2	0.067	0.067	0.2375	0.408	0.408	0.344	0.344	0.846	1.348	1.348	0.494	0.494	7.847	15.2	15.2	1.379	1.379	3.5765	5.774	5.774
TARA_B100000282	SAMEA2620194	ERS489043	TARA_041	TARA_20100330T0247Z_041_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_041_SRF_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100330T0247Z_041_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000282	"tara_20100330t0257z_041_event_cast,tara_20100330t0848z_041_event_cast"	1.2227-6.2798	P00DT00H09M	2	0.003	0.003	0.007	0.011	0.011	0.144	0.144	0.1565	0.169	0.169	0.026	0.026	0.057	0.088	0.088	1.305	1.305	1.3865	1.468	1.468
TARA_B100000097	SAMEA2620097	ERS488936	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	270	262	280	0.22	1.6	TARA_039_MES_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MES_(270m)_SEQ-(100L)_W0.22-1.6_B100000097	"tara_20100320t0817z_039_event_cast,tara_20100318t0956z_039_event_cast"	0.005826-20.854	P00DT00H00M	1	2.074	2.074	2.074	2.074	2.074	2.64	2.64	2.64	2.64	2.64	21.22	21.22	21.22	21.22	21.22	38.62	38.62	38.62	38.62	38.62
TARA_B100000085	SAMEA2620081	ERS488916	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	1.6	TARA_039_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100318T1133Z_039_EVENT_PUMP_DCM_(25m)_SEQ-(100L)_W0.22-1.6_B100000085	"tara_20100318t0956z_039_event_cast,tara_20100318t0441z_039_event_cast,tara_20100320t0817z_039_event_cast"	2.0758-18.8401	P00DT01H40M	2	0.005	0.005	0.011	0.017	0.017	0.231	0.231	0.2465	0.262	0.262	0.042	0.042	0.0675	0.093	0.093	1.208	1.208	1.2415	1.275	1.275
TARA_B100000071	SAMEA2620035	ERS488849	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	340	332	350	0.22	1.6	TARA_038_MES_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100316T0614Z_038_Combined-EVENTS_CAST_MES_(340m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000071	"tara_20100316t0859z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast"	1.7801-7.3775	P00DT02H44M	1	0.691	0.691	0.691	0.691	0.691	2.639	2.639	2.639	2.639	2.639	23.43	23.43	23.43	23.43	23.43	38.94	38.94	38.94	38.94	38.94
TARA_B100000073	SAMEA2620021	ERS488830	TARA_038	TARA_20100315T1118Z_038_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	1.6	TARA_038_DCM_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100315T1118Z_038_EVENT_PUMP_DCM_(25m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000073	"tara_20100315t0936z_038_event_cast,tara_20100315t0345z_038_event_cast,tara_20100316t0859z_038_event_cast"	2.291-11.5661	P00DT01H45M	1	0.7	0.7	0.7	0.7	0.7	0.417	0.417	0.417	0.417	0.417	1.858	1.858	1.858	1.858	1.858	1.625	1.625	1.625	1.625	1.625
TARA_B100000066	SAMEA2620000	ERS488799	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_038_SRF_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100315T0335Z_038_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000066	"tara_20100315t0345z_038_event_cast,tara_20100315t0936z_038_event_cast,tara_20100316t0859z_038_event_cast"	0.2594-13.8812	P00DT00H09M	2	0.014	0.014	0.107	0.2	0.2	0.319	0.319	0.337	0.355	0.355	0.059	0.059	0.4195	0.78	0.78	1.178	1.178	1.278	1.378	1.378
TARA_B100000315	SAMEA2619970	ERS488769	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	596	605	0.22	1.6	TARA_037_MES_0.22-1.6	SEQ-(10L-or-15min)_W0.22-1.6	TARA_20100313T0507Z_037_Combined-EVENTS_CAST_MES_(600m)_SEQ-(10L-or-15min)_W0.22-1.6_B100000315	"tara_20100312t1036z_036_event_cast,tara_20100312t0620z_036_event_cast"	8.1998-8.8914	P00DT06H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100000035	SAMEA2619952	ERS488747	TARA_036	TARA_20100312T1223Z_036_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	17	15	19	0.22	1.6	TARA_036_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100312T1223Z_036_EVENT_PUMP_DCM_(17m)_SEQ-(100L)_W0.22-1.6_B100000035	"tara_20100312t1036z_036_event_cast,tara_20100312t0620z_036_event_cast"	0.53112-0.99588	P00DT01H48M	2	0.046	0.046	0.277	0.508	0.508	0.348	0.348	0.431	0.514	0.514	0.152	0.152	1.115	2.078	2.078	1.087	1.087	1.4395	1.792	1.792
TARA_B100000034	SAMEA2619927	ERS488714	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_036_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100312T0606Z_036_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_B100000034	"tara_20100312t0620z_036_event_cast,tara_20100312t1036z_036_event_cast"	0.006379-0.77483	P00DT00H13M	2	0.045	0.045	0.0455	0.046	0.046	0.348	0.348	0.3575	0.367	0.367	0.131	0.131	0.1415	0.152	0.152	1.087	1.087	1.143	1.199	1.199
TARA_B100000029	SAMEA2619907	ERS488685	TARA_034	TARA_20100120T1150Z_034_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	0.22	1.6	TARA_034_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100120T1150Z_034_EVENT_PUMP_DCM_(60m)_SEQ-(100L)_W0.22-1.6_B100000029	tara_20100120t0747z_034_event_cast	4.8473	P00DT04H05M	1	0.269	0.269	0.269	0.269	0.269	0.0885	0.0885	0.0885	0.0885	0.0885	0.635	0.635	0.635	0.635	0.635	1.3525	1.3525	1.3525	1.3525	1.3525
TARA_B100000003	SAMEA2619879	ERS488649	TARA_034	TARA_20100120T0427Z_034_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_034_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100120T0427Z_034_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_B100000003	tara_20100120t0747z_034_event_cast	1.4175	P00DT03H17M	2	0.0055	0.0055	0.011	0.0165	0.0165	0.103	0.103	0.144	0.185	0.185	0.029	0.029	0.029	0.029	0.029	1.372	1.372	2.6405	3.909	3.909
TARA_A100001234	SAMEA2619857	ERS488621	TARA_033	TARA_20100113T0716Z_033_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_033_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100113T0716Z_033_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100001234	tara_20100113t1102z_033_event_cast	20.3827	P00DT03H38M	2	0.002	0.002	0.003	0.004	0.004	0.039	0.039	0.04575	0.0525	0.0525	0.0045	0.0045	0.006	0.0075	0.0075	1.0875	1.0875	1.12025	1.153	1.153
TARA_A100001037	SAMEA2619840	ERS488599	TARA_032	TARA_20100111T1417Z_032_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	0.22	1.6	TARA_032_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100111T1417Z_032_EVENT_PUMP_DCM_(80m)_SEQ-(100L)_W0.22-1.6_A100001037	tara_20100111t0943z_032_event_cast	4.7733	P00DT04H36M	1	0.01	0.01	0.01	0.01	0.01	0.025	0.025	0.025	0.025	0.025	NA	NA	NA	NA	NA	0.85	0.85	0.85	0.85	0.85
TARA_A100001035	SAMEA2619818	ERS488569	TARA_032	TARA_20100111T0721Z_032_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_032_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100111T0721Z_032_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100001035	tara_20100111t0943z_032_event_cast	3.0062	P00DT02H19M	2	0.0075	0.0075	0.01075	0.014	0.014	0	0	0.00875	0.0175	0.0175	0	0	0	0	0	0.87	0.87	0.8775	0.885	0.885
TARA_A100001403	SAMEA2619802	ERS488545	TARA_031	TARA_20100109T0715Z_031_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_031_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100109T0715Z_031_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100001403	tara_20100109t1003z_031_event_cast	3.2598	P00DT02H47M	2	0.005	0.005	0.00925	0.0135	0.0135	0.001	0.001	0.01225	0.0235	0.0235	0.03	0.03	0.036	0.042	0.042	0.8165	0.8165	0.8825	0.9485	0.9485
TARA_E500000331	SAMEA2619782	ERS488509	TARA_025	TARA_20091123T1352Z_025_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	1.6	TARA_025_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091123T1352Z_025_EVENT_PUMP_DCM_(50m)_SEQ-(100L)_W0.22-1.6_E500000331	tara_20091123t1242z_025_event_cast	1.9377	P00DT01H11M	2	0.1055	0.1055	0.1055	0.1055	0.1055	NA	NA	NA	NA	NA	0.3595	0.3595	0.3595	0.3595	0.3595	1.354	1.354	1.354	1.354	1.354
