Sample_event_ID,Archive_ID,organism,broad-scale environmental context,local-scale environmental context,environmental medium,Station_Name,geographic location,bottle_id,sample_name,cruise_expedition,cruise_name,start_collection_date,depth_sample,latitude,longitude,filter_min 
S_E_15,SAMN07137040,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1490200314,S0543,HOT,HOT149,2003-06-19,5,22.75,-158,0.2
S_E_15,SAMN07137041,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1490200308,S0544,HOT,HOT149,2003-06-19,100,22.75,-158,0.2
S_E_15,SAMN07137042,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1490200304,S0545,HOT,HOT149,2003-06-19,175,22.75,-158,0.2
S_E_16,SAMN07137043,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1500200314,S0546,HOT,HOT150,2003-07-19,5,22.75,-158,0.2
S_E_16,SAMN07137044,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1500200306,S0547,HOT,HOT150,2003-07-19,125,22.75,-158,0.2
S_E_16,SAMN07137045,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1500200304,S0548,HOT,HOT150,2003-07-19,175,22.75,-158,0.2
S_E_17,SAMN07137046,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1510200316,S0549,HOT,HOT151,2003-08-20,5,22.75,-158,0.2
S_E_17,SAMN07137047,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1510200307,S0550,HOT,HOT151,2003-08-20,115,22.75,-158,0.2
S_E_17,SAMN07137048,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1510200304,S0551,HOT,HOT151,2003-08-20,175,22.75,-158,0.2
S_E_18,SAMN07137049,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1530200314,S0552,HOT,HOT153,2003-11-09,5,22.75,-158,0.2
S_E_18,SAMN07137050,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1530200308,S0553,HOT,HOT153,2003-11-09,100,22.75,-158,0.2
S_E_18,SAMN07137051,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1530200304,S0554,HOT,HOT153,2003-11-09,175,22.75,-158,0.2
S_E_19,SAMN07137052,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1540201018,S0555,HOT,HOT154,2003-12-20,5,22.75,-158,0.2
S_E_19,SAMN07137053,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1540201010,S0556,HOT,HOT154,2003-12-20,85,22.75,-158,0.2
S_E_19,SAMN07137054,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1540201004,S0557,HOT,HOT154,2003-12-20,175,22.75,-158,0.2
S_E_20,SAMN07137055,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1520200320,S0558,HOT,HOT152,2003-10-14,10,22.75,-158,0.2
S_E_20,SAMN07137056,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1520200308,S0559,HOT,HOT152,2003-10-14,100,22.75,-158,0.2
S_E_20,SAMN07137057,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1520200304,S0560,HOT,HOT152,2003-10-14,175,22.75,-158,0.2
S_E_21,SAMN07137058,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1550200314,S0561,HOT,HOT155,2004-01-21,5,22.75,-158,0.2
S_E_21,SAMN07137059,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1550200308,S0562,HOT,HOT155,2004-01-21,100,22.75,-158,0.2
S_E_21,SAMN07137060,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1550200304,S0563,HOT,HOT155,2004-01-21,175,22.75,-158,0.2
S_E_22,SAMN07137061,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1570200323,S0564,HOT,HOT157,2004-03-19,10,22.75,-158,0.2
S_E_22,SAMN07137062,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1570200316,S0565,HOT,HOT157,2004-03-19,115,22.75,-158,0.2
S_E_22,SAMN07137063,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1570200313,S0566,HOT,HOT157,2004-03-19,175,22.75,-158,0.2
S_E_23,SAMN08390922,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",2140200308,S0627,HOT,HOT214,2009-08-19,5,22.75,-158,0.2
S_E_24,SAMN08390923,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",2160200304,S0628,HOT,HOT216,2009-11-04,100,22.75,-158,0.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
