parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Longitude End	longitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000078	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Longitude Start	longitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000077	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Nitrate Sensor	concentration of nitrate in water	http://purl.obolibrary.org/obo/ENVO_3100022	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Oxygen Sensor	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Project Name	project investigation identifier	http://purl.obolibrary.org/obo/PMO_00000007	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Protocol Label	protocol	http://purl.obolibrary.org/obo/OBI_0000272	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
SRA accession	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Salinity Sensor	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE	practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Sample Collection Device	specimen collection device	http://purl.obolibrary.org/obo/PMO_00000074	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Sampling Campaign	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/288560		
Sampling Station	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/288560		
Size Fraction Upper Threshold	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Temperature	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	TRUE	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.ncbi.nlm.nih.gov/bioproject/288560		
Title									https://www.ncbi.nlm.nih.gov/bioproject/288560		
environment (feature) further details									https://www.ncbi.nlm.nih.gov/bioproject/288560		
protocol description									https://www.ncbi.nlm.nih.gov/bioproject/288560		
sample material label									https://www.ncbi.nlm.nih.gov/bioproject/288560		
