parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type		COMMENT
Violaxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Violaxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Violaxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
19-Hexanoyloxyfucoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
19-Hexanoyloxyfucoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
19-Hexanoyloxyfucoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
19-Hexanoyloxyfucoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
19-Hexanoyloxyfucoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Diadinoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Diadinoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Diadinoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Diadinoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Diadinoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Alloxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Alloxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Alloxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Alloxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Alloxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Diatoxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Diatoxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Diatoxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Diatoxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Diatoxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Zeaxanthin					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Zeaxanthin_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Zeaxanthin_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Zeaxanthin_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Zeaxanthin_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Lutein					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Lutein_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Lutein_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Lutein_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Lutein_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Bacteriochlorophyll a					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Bacteriochlorophyll a_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Bacteriochlorophyll a_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Bacteriochlorophyll a_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Bacteriochlorophyll a_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Divinyl chlorophyll b					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Divinyl chlorophyll b_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll b_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll b_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll b_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Chlorophyll b					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Chlorophyll b_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Chlorophyll b_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Chlorophyll b_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Chlorophyll b_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Chlorophyll b plus divinyl chlorophyll b					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Chlorophyll b plus divinyl chlorophyll b_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Chlorophyll b plus divinyl chlorophyll b_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Chlorophyll b plus divinyl chlorophyll b_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Chlorophyll b plus divinyl chlorophyll b_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Divinyl chlorophyll a					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Divinyl chlorophyll a_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll a_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll a_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Divinyl chlorophyll a_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Chlorophyll a					mg/m3				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
Chlorophyll a_1					mg/m3				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Chlorophyll a_2					mg/m3				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Chlorophyll a_3					mg/m3				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Chlorophyll a_4					mg/m3				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
"Chlorophyll a, total"					µg/l				https://doi.org/10.1594/PANGAEA.875569			minimum value in the selected environmental feature around the sampling date and location
"Chlorophyll a, total_1"					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Chlorophyll a, total_2"					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Chlorophyll a, total_3"					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Chlorophyll a, total_4"					µg/l				https://doi.org/10.1594/PANGAEA.875569			maximum value in the selected environmental feature around the sampling date and location
Phaeophytin a					µg/l				https://doi.org/10.1594/PANGAEA.875569			"minimum value in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments"
Phaeophytin a_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments"
Phaeophytin a_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments"
Phaeophytin a_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments"
Phaeophytin a_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			"maximum value in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments"
Carotene					µg/l				https://doi.org/10.1594/PANGAEA.875569			"minimum value in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments"
Carotene_1					µg/l				https://doi.org/10.1594/PANGAEA.875569			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments"
Carotene_2					µg/l				https://doi.org/10.1594/PANGAEA.875569			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments"
Carotene_3					µg/l				https://doi.org/10.1594/PANGAEA.875569			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments"
Carotene_4					µg/l				https://doi.org/10.1594/PANGAEA.875569			"maximum value in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments"
