Exp_Omic ID	Run_ID	Archive	Archive_ID	nb of Spots	nb of Bases	Size	Published date
EO_40	R_40	SRA	SRR5720266	23802307.00	7.1	2.9	2018-05-01
EO_41	R_41	SRA	SRR5720296	25392429.00	7.6	3	2018-05-01
EO_42	R_42	SRA	SRR5720295	15276603.00	4.6	1.9	2018-05-01
EO_43	R_43	SRA	SRR5720294	25687196.00	7.7	3.1	2018-05-01
EO_44	R_44	SRA	SRR5720293	40651674.00	12.2	5	2018-05-01
EO_45	R_45	SRA	SRR5720292	33191291.00	10	4	2018-05-01
EO_46	R_46	SRA	SRR5720291	35506650.00	10.7	4.2	2018-05-01
EO_47	R_47	SRA	SRR5720290	37928374.00	11.4	4.6	2018-05-01
EO_48	R_48	SRA	SRR5720289	15341429.00	4.6	1.8	2018-05-01
EO_49	R_49	SRA	SRR5720288	12150878.00	3.6	1.5	2018-05-01
EO_50	R_50	SRA	SRR5720287	13236718.00	4	1.6	2018-05-01
EO_51	R_51	SRA	SRR5720310	24098907.00	7.2	2.8	2018-05-01
EO_52	R_52	SRA	SRR5720311	35891185.00	10.8	4.3	2018-05-01
EO_53	R_53	SRA	SRR5720312	29558270.00	8.9	3.6	2018-05-01
EO_54	R_54	SRA	SRR5720313	18120933.00	5.4	2.2	2018-05-01
EO_55	R_55	SRA	SRR5720314	15653365.00	4.7	1.8	2018-05-01
EO_56	R_56	SRA	SRR5720315	33827557.00	10.1	4	2018-05-01
EO_57	R_57	SRA	SRR5720316	34235985.00	10.3	4.1	2018-05-01
EO_58	R_58	SRA	SRR5720317	30146983.00	9	3.6	2018-05-01
EO_59	R_59	SRA	SRR5720308	17632241.00	5.3	2.1	2018-05-01
EO_60	R_60	SRA	SRR5720309	20542115.00	6.2	2.5	2018-05-01
EO_61	R_61	SRA	SRR5720329	27896151.00	8.4	3.3	2018-05-01
EO_62	R_62	SRA	SRR5720328	48913098.00	14.7	5.8	2018-05-01
EO_63	R_63	SRA	SRR5720331	15289992.00	4.6	1.8	2018-05-01
EO_64	R_64	SRA	SRR5720330	29804104.00	8.9	3.5	2018-05-01
EO_65	R_65	SRA	SRR5720325	27717415.00	8.3	3.3	2018-05-01
EO_66	R_66	SRA	SRR5720324	22836170.00	6.9	2.7	2018-05-01
EO_67	R_67	SRA	SRR6507277	53778607.00	16.1	6.2	2018-05-01
EO_68	R_68	SRA	SRR6507278	52916530.00	15.9	6.1	2018-05-01
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
