parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Latitude	latitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000076	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Longitude	longitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000077	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Date/Time 2	specimen collection time measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000009	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	datetime	%Y-%m-%dT%H:%M
Latitude 2	latitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000079	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Longitude 2	longitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000078	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Depth	depth of water	http://purl.obolibrary.org/obo/PMO_00000029	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
TZ	time zone	http://purl.obolibrary.org/obo/PMO_00000080	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Local time	specimen collection time measurement datum in localized time zone	http://purl.obolibrary.org/obo/PMO_00000081	FALSE	time unit	http://purl.obolibrary.org/obo/UO_0000003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	datetime	%Y-%m-%dT%H:%M
"Country, closest"	Country Code	http://purl.obolibrary.org/obo/PMO_00000082	TRUE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Country, distance"	distance between site and country border	http://purl.obolibrary.org/obo/PMO_00000083	FALSE	meter	http://purl.obolibrary.org/obo/UO_0000008			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
"BG province, closest, abbrev"	biogeochemical province label	http://purl.obolibrary.org/obo/PMO_00000086	TRUE					http://marineregions.org/	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"BG province, closest, desc"	biogeochemical province	http://purl.obolibrary.org/obo/PMO_00000085	FALSE					http://marineregions.org/	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"BG province, distance"	distance between site and biogeochemical province	http://purl.obolibrary.org/obo/PMO_00000087	FALSE	degree	http://purl.obolibrary.org/obo/UO_0000185			http://marineregions.org/	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
"LME, closest, desc"	Large Marine Ecosystem	http://purl.obolibrary.org/obo/PMO_00000091	TRUE					http://www.marineregions.org/mrgid.php	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"LME, distance"	distance between a site and a geographic location	http://purl.obolibrary.org/obo/PMO_00000090	FALSE	meter	http://purl.obolibrary.org/obo/UO_0000008			http://www.marineregions.org/mrgid.php	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
"Locality, site"	site	http://purl.obolibrary.org/obo/BFO_0000029	FALSE					http://www.marineregions.org/sources.php#iho	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Locality, region"	International Hydrographic Organization Sea Area	http://purl.obolibrary.org/obo/PMO_00000092	TRUE					http://www.marineregions.org/sources.php#iho	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
URL ref	International Hydrographic Organization Sea Area	http://purl.obolibrary.org/obo/PMO_00000092	FALSE					http://www.marineregions.org/sources.php#iho	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Biome	biome	http://purl.obolibrary.org/obo/ENVO_00000428	TRUE					https://www.ebi.ac.uk/ols/ontologies/envo	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Env feature	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE					https://www.ebi.ac.uk/ols/ontologies/envo	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Material	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE					https://www.ebi.ac.uk/ols/ontologies/envo	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Protocol Label	protocol	http://purl.obolibrary.org/obo/OBI_0000272	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Quantity	water sample volume	http://purl.obolibrary.org/obo/PMO_00000025	TRUE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Container	specimen collection device	http://purl.obolibrary.org/obo/PMO_00000074	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Content	plan specification	http://purl.obolibrary.org/obo/IAO_0000104	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Size-fraction, upper thresh"	upper size threshold filter paper	http://purl.obolibrary.org/obo/PMO_00000023	TRUE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Size-fraction, lower thresh"	lower size threshold filter paper	http://purl.obolibrary.org/obo/PMO_00000022	TRUE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Treatment, chemicals"	sample preparation for assay	http://purl.obolibrary.org/obo/OBI_0000073	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
"Treatment, storage"	storage	http://purl.obolibrary.org/obo/OBI_0302893	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Temp	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Sal	water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE	practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
pH	acidity of water	http://purl.obolibrary.org/obo/ENVO_3100030	TRUE	pH	http://purl.obolibrary.org/obo/UO_0000196			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
[PO4]3-	concentration of phosphate in water	http://purl.obolibrary.org/obo/ENVO_3100026	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
[NO3]-	concentration of nitrate in water	http://purl.obolibrary.org/obo/ENVO_3100022	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
