sample_event_ID	Archive_ID	Organism	collection date	depth	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	geographic location	latitude	longitude	additional metadata at	Description	Sample_name	filter_min 	filter_max 
SE_45	SAMN02798432	marine metagenome	2008-08-16T10:25:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT204_25m	0.22	1.6
SE_47	SAMN02798433	marine metagenome	2008-10-10T10:34:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT205_25m	0.22	1.6
SE_49	SAMN02798434	marine metagenome	2008-11-30T12:01:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT206_25m	0.22	1.6
SE_51	SAMN02798435	marine metagenome	2009-01-20T11:35:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT208_25m	0.22	1.6
SE_53	SAMN02798436	marine metagenome	2009-02-17T12:54:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT209_25m	0.22	1.6
SE_55	SAMN02798437	marine metagenome	2009-04-28T10:42:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT210_25m	0.22	1.6
SE_57	SAMN02798438	marine metagenome	2009-05-28T13:53:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT211_25m	0.22	1.6
SE_59	SAMN02798439	marine metagenome	2009-07-03T11:37:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT212_25m	0.22	1.6
SE_61	SAMN02798440	marine metagenome	2009-07-24T12:02:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT213_25m	0.22	1.6
SE_63	SAMN02798441	marine metagenome	2009-08-18T10:51:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT214_25m	0.22	1.6
SE_65	SAMN02798442	marine metagenome	2009-09-24T12:42:00Z	25	Oceanic Upper Euphotic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000036	marine wind mix layer	http://purl.obolibrary.org/obo/ENVO_01000061	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT215_25m	0.22	1.6
