Parameter	PURL LABEL	PURL/TEMP PURL	pm:searchable	units label	units PURL	source category	source url	type	Frictionless Format
CTDPRS_inferred	pressure of water	http://purl.obolibrary.org/obo/PMO_00000028	TRUE	atmosphere unit	http://purl.obolibrary.org/obo/PMO_00000035	inferred		number	default
CTDOXY	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
CTDSAL	water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE	practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
CTDTMP	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	TRUE	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
NO2_NO3	concentration of nitrate and nitrite in water	http://purl.obolibrary.org/obo/PMO_00000018	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
OXYGEN	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
PHSPHT	concentration of phosphate in water	http://purl.obolibrary.org/obo/PMO_00000031	FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
PHSPHT_inferred	concentration of phosphate in water	http://purl.obolibrary.org/obo/PMO_00000031	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003	inferred		number	default
REPLICT	replicate	http://purl.obolibrary.org/obo/PMO_00000019	FALSE			NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
SALNITY	water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE	practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
SIGMA	potential density	http://purl.obolibrary.org/obo/PMO_00000021	TRUE	kilogram per cubic meter	http://purl.obolibrary.org/obo/UO_0000083	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
SILCAT	concentration of silicate(4-) in water	http://purl.obolibrary.org/obo/PMO_00000032	FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
SILCAT_inferred	concentration of silicate(4-) in water	http://purl.obolibrary.org/obo/PMO_00000032	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003	inferred		number	default
THETA	potential temperature	http://purl.obolibrary.org/obo/PMO_00000020	TRUE	international temperature scale of 1990 unit	http://purl.obolibrary.org/obo/PMO_00000038	NISKIN BCODMO	"http://dmoserv3.bco-dmo.org/jg/info/BCO-DMO/HOT/niskin%7Bdir=dmoserv3.whoi.edu/jg/dir/BCO-DMO/HOT/,data=dmoserv3.bco-dmo.org:80/jg/serv/BCO-DMO/HOT/niskin.brev0%7D?"	number	default
