Sample_event_ID	start_ISO_DateTime	end_ISO_DateTime	start_lon	start_lat	end_lon	end_lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
OSD42_20140621T1000Z	2014-06-21T10:00	2014-06-21T11:00	38.26861	15.63708	38.26861	15.63708	OSD-Jun-2133	OSD	cast	OSD42
OSD41_20140621T1840Z	2014-06-21T18:40	2014-06-21T18:45	48.04051	-123.0257	48.04051	-123.0257	OSD-Jun-2134	OSD	cast	OSD41
OSD39_20140619T0500Z	2014-06-19T18:00	2014-06-19T18:15	32.7524	-79.89954	32.7524	-79.89954	OSD-Jun-2135	OSD	cast	OSD39
OSD38_20140620T1655Z	2014-06-20T16:55	2014-06-20T17:15	24.7449	-80.78375	24.7449	-80.78375	OSD-Jun-2136	OSD	bucket	OSD38
OSD37_20140619T1311Z	2014-06-19T13:11	2014-06-19T13:24	26.10293	-80.09315	26.10293	-80.09315	OSD-Jun-2137	OSD	bucket	OSD37
OSD36_20140621T1730Z	2014-06-21T17:30	2014-06-21T18:30	39.3322	-75.4699	39.3322	-75.4699	OSD-Jun-2138	OSD	bucket	OSD36
OSD35_20140621T1701Z	2014-06-21T17:01	2014-06-21T18:30	38.6792	-76.1742	38.6792	-76.1742	OSD-Jun-2139	OSD	bucket	OSD35
OSD34_20140621T0930Z	2014-06-21T09:30	2014-06-21T10:30	31.21667	29.96667	31.21667	29.96667	OSD-Jun-2140	OSD	bucket	OSD34
OSD33_20140619T1535Z	2014-06-19T15:35	2014-06-19T15:45	-42.5966	148.2333	-42.5966	148.2333	OSD-Jun-2141	OSD	cast	OSD33
OSD32_20140623T1520Z	2014-06-23T15:20	2014-06-23T15:30	-27.342	153.5622	-27.2	153.3373	OSD-Jun-2142	OSD	cast	OSD32
OSD31_20140612T1120Z	2014-06-12T11:20	2014-06-12T12:36	-34.0833	151.25	-34.0833	151.25	OSD-Jun-2143	OSD	bucket	OSD31
OSD29_20140621T1500Z	2014-06-21T15:00	2014-06-21T15:15	27.4694	-80.283366	27.4694	-80.283366	OSD-Jun-2144	OSD	bucket	OSD29
OSD28_20140621T0415Z	2014-06-21T04:15	2014-06-21T04:20	16.802575	88.08165	16.802575	88.08165	OSD-Jun-2145	OSD	bucket	OSD28
OSD26_20140621T1245Z	2014-06-21T12:45	2014-06-21T15:00	35.82	-5.75	35.82	-5.75	OSD-Jun-2146	OSD	cast	OSD26
OSD25_20140621T0900Z	2014-06-21T09:00	2014-06-21T10:00	35.086353	-2.214658	35.086353	-2.214658	OSD-Jun-2147	OSD	cast	OSD25
OSD24_20140621T1230Z	2014-06-21T12:30	2014-06-21T14:00	35.1927	-2.88005	35.1927	-2.88005	OSD-Jun-2148	OSD	cast	OSD24
OSD22_20140623T0800Z	2014-06-23T06:01	2014-06-23T13:30	43.22639	5.1746	43.22639	5.1746	OSD-Jun-2149	OSD	cast	OSD22
OSD20_20140620T1030Z	2014-06-20T10:30	2014-06-20T10:50	64.208333	-22.015	64.208333	-22.015	OSD-Jun-2150	OSD	bucket	OSD20
OSD19_20140623T0730Z	2014-06-23T07:30	2014-06-23T08:00	35	33	35	33	OSD-Jun-2152	OSD	cast	OSD19
OSD18_20140620T0800Z	2014-06-20T08:00	2014-06-20T08:20	35.363732	33.289649	35.362826	33.287118	OSD-Jun-2153	OSD	cast	OSD18
OSD17_20140620T0700Z	2014-06-20T07:00	2014-06-20T07:00	51.434733	2.810867	51.434733	2.810867	OSD-Jun-2154	OSD	cast	OSD17
OSD15_20140621T0730Z	2014-06-21T07:30	2014-06-21T10:30	43.686111	7.31567	43.686111	7.31567	OSD-Jun-2155	OSD	cast	OSD15
OSD14_20140623T0805Z	2014-06-23T07:40	2014-06-23T08:10	42.49	3.14	42.49	3.14	OSD-Jun-2157	OSD	cast	OSD14
OSD13_20140621T0630Z	2014-06-21T06:30	2014-06-21T06:45	43.185	27.936667	43.185	27.936667	OSD-Jun-2158	OSD	cast	OSD13
OSD10_20140621T2050Z	2014-06-21T20:50	2014-06-21T22:00	41.839834	-83.18995	41.839834	-83.18995	OSD-Jun-2159	OSD	bucket	OSD10
OSD9_20140618T0418Z	2014-06-18T04:18	2014-06-18T04:27	33.55	-118.4	33.55	-118.4	OSD-Jun-2160	OSD	bucket	OSD9
OSD7_20140621T2000Z	2014-06-21T20:00	2014-06-21T20:15	-17.2894	-149.53985	-17.2894	-149.53985	OSD-Jun-2161	OSD		OSD7
OSD5_20140619T1100Z	2014-06-19T11:00	2014-06-19T13:00	35.661	24.99	35.661	24.99	OSD-Jun-2162	OSD	cast	OSD5
OSD5_20140619T0515Z	2014-06-19T05:15	2014-06-19T11:15	35.661	24.99	35.661	24.99	OSD-Jun-2163	OSD	cast	OSD5
OSD4_20140620T0900Z	2014-06-20T09:00	2014-06-20T11:00	40.808	14.25	40.808	14.25	OSD-Jun-2164	OSD	cast	OSD4
OSD3_20140620T0540Z	2014-06-20T05:40	2014-06-20T06:00	54.18194	7.9	54.18194	7.9	OSD-Jun-2165	OSD	cast	OSD3
OSD2_20140620T1126Z	2014-06-20T11:26	2014-06-20T11:45	48.7778	-3.9375	48.7778	-3.9375	OSD-Jun-2166	OSD	cast	OSD2
OSD1_20140621T1110Z	2014-06-21T11:10	2014-06-21T11:25	50.151	-4.13	50.151	-4.13	OSD-Jun-2167	OSD	cast	OSD1
OSD30_20140620T0815Z	2014-06-20T08:15	2014-06-20T09:15	59.8822	23.2538	59.8822	23.2538	OSD-Jun-2168	OSD	Water pump	OSD30
OSD113_20140621T1125Z	2014-06-21T11:25	2014-06-21T12:00	38.6667	-9.4367	38.6667	-9.4367	OSD-Jun-2169	OSD	cast	OSD113
OSD151_20140621T1430Z	2014-06-21T14:30	2014-06-21T15:00	-34.7	-54.266	-34.7	-54.266	OSD-Jun-2170	OSD	bucket	OSD151
OSD21_20140621T1055Z	2014-06-21T10:55	2014-06-21T11:05	45.08	13.61	45.08	13.61	OSD-Jun-2171	OSD	cast	OSD21
OSD150_20140621T1500Z	2014-06-21T15:00	2014-06-21T15:10	-34.666	-54.2752	-34.666	-54.2752	OSD-Jun-2172	OSD	bucket	OSD150
OSD6_20140621T0930Z	2014-06-21T10:30	2014-06-21T11:30	41.6666	2.8	41.6666	2.8	OSD-Jun-2173	OSD	bucket	OSD6
OSD149_20140621T1440Z	2014-06-21T14:40	2014-06-21T14:50	-34.616	-54.266	-34.616	-54.266	OSD-Jun-2174	OSD	bucket	OSD149
OSD164_20140613T1000Z	2014-06-13T10:00	2014-06-13T10:00	60.14333	-1.2825	60.14333	-1.2825	OSD-Jun-2175	OSD	bucket	OSD164
