SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_N000002318	SAMEA2732648	ERS493157	TARA_129	TARA_20110911T0026Z_129_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_129_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110911T0026Z_129_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002318	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	9.3062-26.9726	P00DT03H15M	1	0.042	0.042	0.042	0.042	0.042	0.225	0.225	0.225	0.225	0.225	0.4145	0.4145	0.4145	0.4145	0.4145	1.3695	1.3695	1.3695	1.3695	1.3695
TARA_N000002324	SAMEA2732644	ERS493153	TARA_129	TARA_20110910T2333Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	180	2000	TARA_129_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110910T2333Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N180-2000_N000002324	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	6.7893-24.4684	P00DT02H22M	1	0.6895	0.6895	0.6895	0.6895	0.6895	0.332	0.332	0.332	0.332	0.332	1.1285	1.1285	1.1285	1.1285	1.1285	1.448	1.448	1.448	1.448	1.448
TARA_N000002322	SAMEA2732441	ERS493147	TARA_129	TARA_20110910T2035Z_129_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_129_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110910T2035Z_129_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002322	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	2.1893-15.5087	P00DT00H35M	1	0.042	0.042	0.042	0.042	0.042	0.225	0.225	0.225	0.225	0.225	0.4145	0.4145	0.4145	0.4145	0.4145	1.3695	1.3695	1.3695	1.3695	1.3695
TARA_N000002314	SAMEA2622959	ERS493134	TARA_129	TARA_20110910T1757Z_129_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_129_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20110910T1757Z_129_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000002314	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	7.9148-9.785	P00DT03H13M	1	0.042	0.042	0.042	0.042	0.042	0.225	0.225	0.225	0.225	0.225	0.4145	0.4145	0.4145	0.4145	0.4145	1.3695	1.3695	1.3695	1.3695	1.3695
TARA_N000001923	SAMEA2731578	ERS492598	TARA_118	TARA_20110701T2248Z_118_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_118_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110701T2248Z_118_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001923	"tara_20110702t0024z_118_event_cast,tara_20110701t1025z_117_event_cast,tara_20110630t0910z_116_event_cast"	0.007753-10.2618	P00DT01H34M	6	0.028	0.028	0.0295	0.031	0.031	0.186333	0.186333	0.19875	0.211167	0.211167	0.15	0.15	0.155167	0.160333	0.160333	0.719667	0.719667	0.733333	0.747	0.747
TARA_N000001922	SAMEA2731531	ERS492597	TARA_118	TARA_20110701T2203Z_118_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_118_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110701T2203Z_118_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001922	"tara_20110702t0024z_118_event_cast,tara_20110701t1025z_117_event_cast,tara_20110630t0910z_116_event_cast"	0.005032-10.2676	P00DT02H19M	6	0.028	0.028	0.0295	0.031	0.031	0.186333	0.186333	0.19875	0.211167	0.211167	0.15	0.15	0.155167	0.160333	0.160333	0.719667	0.719667	0.733333	0.747	0.747
TARA_N000001919	SAMEA2731721	ERS492585	TARA_117	TARA_20110701T0846Z_117_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_117_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110701T0846Z_117_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001919	"tara_20110701t1025z_117_event_cast,tara_20110702t0024z_118_event_cast,tara_20110630t0910z_116_event_cast"	0.005032-10.2676	P00DT01H37M	6	0.028	0.028	0.0295	0.031	0.031	0.186333	0.186333	0.19875	0.211167	0.211167	0.15	0.15	0.155167	0.160333	0.160333	0.719667	0.719667	0.733333	0.747	0.747
TARA_N000001918	SAMEA2731720	ERS492584	TARA_117	TARA_20110701T0744Z_117_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_117_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110701T0744Z_117_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001918	"tara_20110701t1025z_117_event_cast,tara_20110702t0024z_118_event_cast,tara_20110630t0910z_116_event_cast"	1.3111-11.0633	P00DT02H39M	6	0.028	0.028	0.0295	0.031	0.031	0.186333	0.186333	0.19875	0.211167	0.211167	0.15	0.15	0.155167	0.160333	0.160333	0.719667	0.719667	0.733333	0.747	0.747
TARA_N000001911	SAMEA2731658	ERS492573	TARA_116	TARA_20110630T0631Z_116_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_116_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110630T0631Z_116_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001911	"tara_20110630t0910z_116_event_cast,tara_20110701t1025z_117_event_cast,tara_20110629t0015z_115_event_cast,tara_20110702t0024z_118_event_cast"	0.028631-10.2726	P00DT02H36M	8	0.028	0.028	0.0295	0.031	0.031	0.190375	0.190375	0.20025	0.210125	0.210125	0.129375	0.129375	0.139	0.148625	0.148625	0.715625	0.715625	0.729625	0.743625	0.743625
TARA_N000001910	SAMEA2731626	ERS492572	TARA_116	TARA_20110630T0557Z_116_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_116_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110630T0557Z_116_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001910	"tara_20110630t0910z_116_event_cast,tara_20110701t1025z_117_event_cast,tara_20110629t0015z_115_event_cast,tara_20110702t0024z_118_event_cast"	1.0054-9.3792	P00DT03H10M	8	0.028	0.028	0.0295	0.031	0.031	0.190375	0.190375	0.20025	0.210125	0.210125	0.129375	0.129375	0.139	0.148625	0.148625	0.715625	0.715625	0.729625	0.743625	0.743625
TARA_N000001915	SAMEA2731525	ERS492561	TARA_115	TARA_20110628T2029Z_115_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_115_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110628T2029Z_115_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001915	"tara_20110629t0015z_115_event_cast,tara_20110630t0910z_116_event_cast"	0.018812-0.15061	P00DT03H46M	4	0.025	0.025	0.0255	0.026	0.026	0.18475	0.18475	0.191	0.19725	0.19725	0.0825	0.0825	0.094375	0.10625	0.10625	0.69325	0.69325	0.7095	0.72575	0.72575
TARA_N000001914	SAMEA2731524	ERS492560	TARA_115	TARA_20110628T1908Z_115_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_115_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110628T1908Z_115_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001914	"tara_20110629t0015z_115_event_cast,tara_20110630t0910z_116_event_cast,tara_20110626t1929z_114_event_cast"	3.3881-8.0699	P00DT05H07M	6	0.0165	0.0165	0.017375	0.01825	0.01825	0.183	0.183	0.187833	0.192667	0.192667	0.058667	0.058667	0.068667	0.078667	0.078667	0.7025	0.7025	0.719083	0.735667	0.735667
TARA_N000001905	SAMEA2731618	ERS492539	TARA_114	TARA_20110626T1837Z_114_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_114_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110626T1837Z_114_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001905	tara_20110626t1929z_114_event_cast	0.056467	P00DT00H50M	2	0.008	0.008	0.00925	0.0105	0.0105	0.1795	0.1795	0.1815	0.1835	0.1835	0.011	0.011	0.01725	0.0235	0.0235	0.721	0.721	0.73825	0.7555	0.7555
TARA_N000001904	SAMEA2731617	ERS492538	TARA_114	TARA_20110626T1755Z_114_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_114_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110626T1755Z_114_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001904	tara_20110626t1929z_114_event_cast	0.022571	P00DT13H01M	2	0.008	0.008	0.00925	0.0105	0.0105	0.1795	0.1795	0.1815	0.1835	0.1835	0.011	0.011	0.01725	0.0235	0.0235	0.721	0.721	0.73825	0.7555	0.7555
TARA_N000001902	SAMEA2731573	ERS492534	TARA_113	TARA_20110619T2203Z_113_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_113_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110619T2203Z_113_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001902	tara_20110619t1800z_113_event_cast	0.60376	P00DT04H04M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001900	SAMEA2731517	ERS492528	TARA_113	TARA_20110619T2000Z_113_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_113_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110619T2000Z_113_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001900	tara_20110619t1800z_113_event_cast	0.028243	P00DT02H01M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000001880	SAMEA2731477	ERS492498	TARA_112	TARA_20110615T2100Z_112_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	170	168	172	20	180	TARA_112_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110615T2100Z_112_EVENT_NET_DCM_(170m)_SEQ-(500mL-or-15min)_N20-180_N000001880	"tara_20110614t2106z_112_event_cast,tara_20110614t1700z_112_event_cast"	13.0672-25.2245	P00DT23H56M	2	0.0255	0.0255	0.02875	0.032	0.032	0.115	0.115	0.1175	0.12	0.12	0.0535	0.0535	0.05825	0.063	0.063	0.6715	0.6715	0.6895	0.7075	0.7075
TARA_N000001878	SAMEA2731613	ERS492494	TARA_112	TARA_20110615T2034Z_112_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_112_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110615T2034Z_112_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001878	"tara_20110614t2106z_112_event_cast,tara_20110614t1700z_112_event_cast"	12.243-24.3847	P00DT23H30M	2	0.007	0.007	0.0075	0.008	0.008	0.142	0.142	0.14225	0.1425	0.1425	0.021	0.021	0.02525	0.0295	0.0295	0.7255	0.7255	0.7425	0.7595	0.7595
TARA_N000001884	SAMEA2732026	ERS492441	TARA_112	TARA_20110614T1920Z_112_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	165	163	167	180	2000	TARA_112_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110614T1920Z_112_EVENT_NET_DCM_(165m)_SEQ-(500mL-or-15min)_N180-2000_N000001884	"tara_20110614t2106z_112_event_cast,tara_20110614t1700z_112_event_cast"	4.9168-7.603	P00DT01H43M	3	0.0025	0.00825	0.0255	0.030375	0.032	0.109	0.1105	0.115	0.11875	0.12	0.0205	0.02875	0.0535	0.060625	0.063	0.6715	0.6735	0.6795	0.7005	0.7075
TARA_N000001882	SAMEA2731973	ERS492437	TARA_112	TARA_20110614T1850Z_112_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_112_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110614T1850Z_112_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001882	"tara_20110614t1700z_112_event_cast,tara_20110614t2106z_112_event_cast"	6.018-6.5077	P00DT01H55M	2	0.007	0.007	0.0075	0.008	0.008	0.142	0.142	0.14225	0.1425	0.1425	0.021	0.021	0.02525	0.0295	0.0295	0.7255	0.7255	0.7425	0.7595	0.7595
TARA_N000001874	SAMEA2622538	ERS492428	TARA_112	TARA_20110614T1645Z_112_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_112_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20110614T1645Z_112_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000001874	"tara_20110614t1700z_112_event_cast,tara_20110614t2106z_112_event_cast"	0.040252-12.5559	P00DT00H09M	2	0.007	0.007	0.0075	0.008	0.008	0.142	0.142	0.14225	0.1425	0.1425	0.021	0.021	0.02525	0.0295	0.0295	0.7255	0.7255	0.7425	0.7595	0.7595
TARA_N000001756	SAMEA2622419	ERS492281	TARA_110	TARA_20110521T2100Z_110_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	5	20	TARA_110_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20110521T2100Z_110_EVENT_PUMP_DCM_(50m)_SEQ-(500mL-or-15min)_W5-20_N000001756	"tara_20110521t2002z_110_event_cast,tara_20110521t1240z_110_event_cast"	2.8544-12.7625	P00DT01H01M	3	0.346	0.363	0.414	0.57375	0.627	0.828	0.853375	0.9295	1.013125	1.041	9.262	9.62175	10.701	11.64225	11.956	4.889	5.0185	5.407	5.82025	5.958
TARA_N000001700	SAMEA2732775	ERS492128	TARA_106	TARA_20110504T1559Z_106_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	20	180	TARA_106_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110504T1559Z_106_EVENT_NET_DCM_(50m)_SEQ-(500mL-or-15min)_N20-180_N000001700	"tara_20110504t1250z_106_event_cast,tara_20110503t1814z_106_event_cast,tara_20110503t1242z_106_event_cast"	6.4058-14.7431	P00DT03H13M	1	0.428	0.428	0.428	0.428	0.428	0.927625	0.927625	0.927625	0.927625	0.927625	11.76375	11.76375	11.76375	11.76375	11.76375	7.1255	7.1255	7.1255	7.1255	7.1255
TARA_N000001704	SAMEA2732708	ERS492124	TARA_106	TARA_20110504T1449Z_106_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	180	2000	TARA_106_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110504T1449Z_106_EVENT_NET_DCM_(50m)_SEQ-(500mL-or-15min)_N180-2000_N000001704	"tara_20110504t1250z_106_event_cast,tara_20110503t1814z_106_event_cast,tara_20110503t1242z_106_event_cast"	1.8136-10.1015	P00DT02H03M	1	0.428	0.428	0.428	0.428	0.428	0.927625	0.927625	0.927625	0.927625	0.927625	11.76375	11.76375	11.76375	11.76375	11.76375	7.1255	7.1255	7.1255	7.1255	7.1255
TARA_N000001696	SAMEA2622280	ERS492092	TARA_106	TARA_20110503T2052Z_106_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	5	20	TARA_106_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20110503T2052Z_106_EVENT_PUMP_DCM_(40m)_SEQ-(500mL-or-15min)_W5-20_N000001696	"tara_20110503t1814z_106_event_cast,tara_20110503t1242z_106_event_cast,tara_20110504t1250z_106_event_cast"	2.3213-6.3325	P00DT02H41M	2	0.20675	0.20675	0.317375	0.428	0.428	0.625625	0.625625	0.776625	0.927625	0.927625	6.8625	6.8625	9.313125	11.76375	11.76375	4.38	4.38	5.75275	7.1255	7.1255
TARA_N000001702	SAMEA2732643	ERS492073	TARA_106	TARA_20110503T1706Z_106_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_106_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110503T1706Z_106_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001702	"tara_20110503t1814z_106_event_cast,tara_20110503t1242z_106_event_cast,tara_20110504t1250z_106_event_cast"	2.0348-9.5562	P00DT01H04M	3	0.146625	0.146625	0.15125	0.155875	0.155875	0.5525	0.5525	0.573125	0.59375	0.59375	5.538375	5.538375	5.556563	5.57475	5.57475	3.573125	3.573125	3.595125	3.617125	3.617125
TARA_N000001694	SAMEA2732589	ERS492064	TARA_106	TARA_20110503T1518Z_106_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_106_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20110503T1518Z_106_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000001694	"tara_20110503t1242z_106_event_cast,tara_20110503t1814z_106_event_cast,tara_20110504t1250z_106_event_cast"	2.8142-5.3167	P00DT02H37M	3	0.146625	0.146625	0.15125	0.155875	0.155875	0.5525	0.5525	0.573125	0.59375	0.59375	5.538375	5.538375	5.556563	5.57475	5.57475	3.573125	3.573125	3.595125	3.617125	3.617125
TARA_N000001698	SAMEA2732548	ERS492060	TARA_106	TARA_20110503T1313Z_106_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_106_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110503T1313Z_106_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001698	"tara_20110503t1242z_106_event_cast,tara_20110503t1814z_106_event_cast,tara_20110504t1250z_106_event_cast"	0.78715-7.5516	P00DT00H32M	3	0.146625	0.146625	0.15125	0.155875	0.155875	0.5525	0.5525	0.573125	0.59375	0.59375	5.538375	5.538375	5.556563	5.57475	5.57475	3.573125	3.573125	3.595125	3.617125	3.617125
TARA_N000001534	SAMEA2732195	ERS491693	TARA_097	TARA_20110329T1512Z_097_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_097_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110329T1512Z_097_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001534	"tara_20110328t1615z_097_event_cast,tara_20110327t1755z_097_event_cast"	8.6295-10.1878	P00DT22H59M	1	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.121	0.121	0.121	0.121	0.121	0.035	0.035	0.035	0.035	0.035	0.567	0.567	0.567	0.567	0.567
