sampling_event_ID	BioSample	sample_ID	cruise	cast	depth	bottleNumber	bottleID	datetime	date	time	press	theta	sigma	temp	csal	coxy	bsal	boxy	dic	ph	alk	phos	nit	sil	doc	pc	pn	pp	lln	llp	chl	phaeo	chlplus	perid	but19	fuco	hex19	prasino	diadino	zeaxan	chlb	hplc	acar	bcar	caroten	chlda	viol	lutein	mvchla	dvchla	hbact	pbact	sbact	ebact	atp	psi	l12	DCM position
HOT_225_20100903T135300_23	SAMN05991660	HOT225-0075m	HOT225	3	75	1	2250200301	2010-09-03T14:16:13Z	90310	141613	75.4	24.7266	23.652	24.7428	35.3009	220.1	35.1993	219.2	2001.4	8.072	2322	0.1	0.02	1.16	76.81	2.275798687	0.334700219	8.2	5.9	80.1	0.14	0.15	5.517915309	2	9.446254072	5.482084691	27.89250814	0	5	79.21498371	15.3029316	187.3355049	17.89250814	5	22.37459283	0	0.482084691	0	89.57003257	97.76547231	534500	241100	1900	1000	41.17	12.82509434	6.76	above DCM
HOT_225_20100904T155000_210	SAMN05991661	HOT225-0125m	HOT225	10	125	19	2250201019	2010-09-04T16:41:18Z	90410	164118	124.5	22.1361	24.383	22.1609	35.2683	204.1	35.2767	204.4	2035.697172	8.01819596	2325.860606	0.13	0.51	1.44	66.34	1.06	0.195	5.7	385.3	134.7	0.13	0.49	17	1	32	4	33	0	3	17	138	175	28	3	31	0	0	0	98	77	294400	48700	0	1100	14.90677419	12.4	1.314	below DCM
HOT_225_20100904T155000_210	SAMN05991662	HOT225-0200m	HOT225	10	200	14	2250201014	2010-09-04T16:38:20Z	90410	163820	200.1	19.6429	25.019	19.6795	35.2142	203.8	35.2392	203.1	2050.622137	7.970637405	2312.667939	0.14	1.52	1.92	57.52347328	0.52	0.089	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.910897959	NA	NA	below DCM
HOT_225_20100905T084800_216	SAMN05991663	HOT225-0500m	HOT225	16	500	12	2250201612	2010-09-05T9:40:25Z	90510	94025	500.3	7.6617	26.634	7.7116	34.122	98.4	34.1209	96.4	2219.5	7.488	2284	2.19	30.03	45.06	45.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_225_20100905T084800_216	SAMN05991664	HOT225-0770m	HOT225	16	770	6	2250201606	2010-09-05T9:29:19Z	90510	92919	770.4	4.9162	27.153	4.9787	34.3297	32.6	34.3344	33.3	2317.2	7.357	2337	2.96	40.76	90.36	44.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_225_20100905T084800_216	SAMN05991665	HOT225-1000m	HOT225	16	1000	1	2250201601	2010-09-05T9:21:59Z	90510	92159	1020.4	3.8942	27.374	3.9713	34.4681	45.3	34.4683	46.2	2336.1	7.393	2367	2.98	41.54	110.45	40.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_226_20101003T130700_23	SAMN05991666	HOT226-0025m	HOT226	3	25	11	2260200311	2010-10-03T13:34:05Z	100310	133405	25.7	26.0388	23.243	26.0446	35.2943	207.2	35.266	206.6	1997.3	8.082	2323	0.07	0.04	1.07	79.49	2.73	0.395	5.7	2.5	67.4	0.11	0.09	4	1	5	4	16	0	6	70	5	100	9	5	14	2	1	0	55	46	584300	214000	1200	1000	28.87	12.65	16.78	above DCM
HOT_226_20101003T130700_23	SAMN05991667	HOT226-0045m	HOT226	3	45	6	2260200306	2010-10-03T13:31:21Z	100310	133121	45.5	25.8879	23.271	25.898	35.2685	208	35.2913	207.2	1997.1	8.082	2323	0.07	0.04	1.06	79	2.59	0.355	6	2	68.3	0.1	0.08	0	1	5	5	19	0	6	73	4	104	9	6	15	0	1	0	58	45	596500	214800	1500	1100	30.67	6.15	15.41	above DCM
HOT_226_20101003T130700_23	SAMN05991668	HOT226-0075m	HOT226	3	75	1	2260200301	2010-10-03T13:28:20Z	100310	132820	75.4	25.5245	23.367	25.5411	35.247	210.3	35.2538	217.1	2006.1	8.067	2327	0.07	0.04	1.16	73.66	2.63	0.399	3.8	2.8	77.1	0.22	0.18	8	3	11	7	38	0	6	86	19	224	22	5	27	0	1	0	101	123	509400	270400	1400	800	30.93	11.1	8.546	above DCM
HOT_226_20101004T145300_211	SAMN05991669	HOT226-0200m	HOT226	11	200	14	2260201114	2010-10-04T15:43:25Z	100410	154325	200.9	20.03	24.928	20.0673	35.2287	203.1	35.2509	203.5	2050.12252	7.987630027	2318.485255	0.14	1.37	1.88	61.14050633	0.59	0.115	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.275949765	NA	NA	below DCM
HOT_226_20101004T091100_29	SAMN05991670	HOT226-0500m	HOT226	9	500	12	2260200912	2010-10-04T9:59:06Z	100410	95906	499.7	7.6605	26.611	7.7103	34.0929	111.6	34.0952	112.4	2213.403021	7.530694006	2280.619335	2.26	30.54	47.1	45.09975831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_226_20101004T091100_29	SAMN05991671	HOT226-0770m	HOT226	9	770	6	2260200906	2010-10-04T9:50:21Z	100410	95021	768.5	4.791	27.175	4.8526	34.3388	37.3	34.337	36.2	2318.561493	7.364420896	2342.053731	2.93	40.32	91.37	41.13110448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_226_20101004T091100_29	SAMN05991672	HOT226-1000m	HOT226	9	1000	1	2260200901	2010-10-04T9:41:41Z	100410	94141	1019.4	3.8139	27.388	3.8903	34.4757	44.1	34.475	46.4	2338.9	7.39	2372	2.98	41.14	111.92	41.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_227_20101121T224600_26	SAMN05991673	HOT227-0025m	HOT227	6	25	18	2270200618	2010-11-21T23:43:44Z	112110	234344	25	25.1203	23.477	25.1257	35.2286	207.4	35.24	207.1	1996.3	8.075	2317	0.11	0.03	1.09	75.97	1.8	0.269	6.3	9.2	92.8	0.08	0.07	3	1	5	3	13	0	5	66	4	82	7	3	10	1	1	0	43	39	399600	220000	1000	700	20.75	9.93	11.154	above DCM
HOT_227_20101121T224600_26	SAMN05991674	HOT227-0045m	HOT227	6	45	13	2270200613	2010-11-21T23:41:23Z	112110	234123	44.8	25.0798	23.499	25.0896	35.2415	207	35.2408	207.2	2001.6	8.077	2321	0.1	0.04	1.1	79.07	1.86	0.282	6.6	2.3	90.8	0.11	0.05	2	2	9	4	24	0	5	71	11	143	14	3	17	0	0	0	75	68	423100	224400	1200	700	22.65	9.52	6.766	above DCM
HOT_227_20101121T153500_24	SAMN05991675	HOT227-0075m	HOT227	4	75	18	2270200418	2010-11-21T16:27:32Z	112110	162732	75.2	25.0925	23.504	25.1089	35.2524	207.2	35.241	207.1	2002.1	8.072	2320	0.1	0.04	1.11	79.58	1.6	0.252	7.6	4.1	94.7	0.15	0.1	4	1	11	5	30	0	5	61	11	155	14	3	17	0	1	0	81	74	398900	232100	1000	500	19.58	11.89	5.106	above DCM
HOT_227_20101121T153500_24	SAMN05991676	HOT227-0125m	HOT227	4	125	13	2270200413	2010-11-21T16:24:58Z	112110	162458	125.5	23.5245	23.931	23.5505	35.1974	212.9	35.2065	212.4	2018.685366	8.046085366	2321.480836	0.11	0.05	1.04	72.9310453	1.613616236	0.30100738	2.240665434	113.6029412	99.80880626	0.273723404	0.548085106	25.69148936	1	36.94680851	4.882978723	56.20212766	1.255319149	4.627659574	47.29787234	131.9361702	312.7659574	39.45744681	4.255319149	43.96808511	0	0.627659574	0	155.7234043	156.4148936	435576	104117.3333	405.7778	1361.7778	19.50643077	12.99982558	1.730693334	above DCM
HOT_227_20101121T085400_22	SAMN05991677	HOT227-0500m	HOT227	2	500	12	2270200212	2010-11-21T9:36:13Z	112110	93613	501.2	7.4772	26.644	7.5264	34.1013	103	34.104	101.1	2221.7	7.493	2280	2.15	29.64	45.56	47.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_227_20101121T085400_22	SAMN05991678	HOT227-0770m	HOT227	2	770	6	2270200206	2010-11-21T9:28:54Z	112110	92854	770.8	4.403	27.174	4.4624	34.2836	21.4	34.2874	20.9	2333	7.311	2340	3.08	42.01	100.35	41.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_227_20101121T085400_22	SAMN05991679	HOT227-1000m	HOT227	2	1000	1	2270200201	2010-11-21T9:23:21Z	112110	92321	1018.3	3.7628	27.393	3.8387	34.4759	43.2	34.4767	43	2343.1	7.382	2372	3.02	41.57	114.13	39.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_229_20110128T095800_21	SAMN05991680	HOT229-0025m	HOT229	1	25	11	2290200111	2011-01-28T10:25:44Z	12811	102544	25.7	23.5675	24.058	23.5728	35.3811	211.7	35.3969	210.8	2012.2	8.066	2334	0.04	0.06	0.89	NA	1.8	0.272	7.6	4.5	43.9	0.07	0.05	7	1	3	7	10	0	6	62	8	73	5	3	8	2	1	0	28	45	NA	NA	NA	NA	20.27	13.01	10.426	above DCM
HOT_229_20110129T150900_210	SAMN05991681	HOT229-0125m	HOT229	10	125	13	2290201013	2011-01-29T16:01:31Z	12911	160131	123.9	21.2338	24.647	21.2577	35.2847	208.017734	35.2997	208.8	2039.2	8.012	2325	0.08	0.38	1.45	NA	1.43	0.265	9.5	339.9	84.9	0.31	0.6	67	3	59	9	98	1	8	37	159	309	28	4	31	0	0	0	132	177	309370.3158	86471.3684	328.4211	1165.6842	27.26	18.49761589	1.831726316	below DCM
HOT_229_20110129T150900_210	SAMN05991682	HOT229-0200m	HOT229	10	200	8	2290201008	2011-01-29T15:58:02Z	12911	155802	199.8	16.4486	25.402	16.4808	34.6855	202.5	34.6816	201.8	2057.7	7.916	2279	0.32	3.93	3.84	NA	0.35	0.071	4.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.573660245	NA	NA	below DCM
HOT_229_20110129T085700_28	SAMN05991683	HOT229-0500m	HOT229	8	500	12	2290200812	2011-01-29T9:43:07Z	12911	94307	500.2	7.5669	26.617	7.6164	34.0834	108.6	34.0819	108.9	2213.1	7.508	2279	2.12	29.41	44.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_229_20110129T085700_28	SAMN05991684	HOT229-0770m	HOT229	8	770	6	2290200806	2011-01-29T9:32:58Z	12911	93258	770.7	4.5467	27.21	4.6071	34.349	26.1	34.3492	25.8	2324	7.336	2340	3.05	41.71	99.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_229_20110129T085700_28	SAMN05991685	HOT229-1000m	HOT229	8	1000	1	2290200801	2011-01-29T9:25:53Z	12911	92553	1020	3.883	27.377	3.9599	34.4701	42.3	34.4697	43	2344.3	7.389	2372	3.01	41.7	110.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_231_20110411T095600_21	SAMN05991686	HOT231-0025m	HOT231	1	25	11	2310200111	2011-04-11T10:58:50Z	41111	105850	24.8	23.9243	23.771	23.9295	35.1413	210.9	35.0695	211.1	1992.6	8.069	2313	0.1	0.04	0.93	NA	2.11	0.315	8.5	5.7	104.5	0.1	0.07	22	1	5	9	13	0	5	43.78571429	25	65	1	0	1	5	0	0	21	44	468000	157400	1200	1000	27.02	25.31	12.09	above DCM
HOT_231_20110411T095600_21	SAMN05991687	HOT231-0075m	HOT231	1	75	1	2310200101	2011-04-11T10:51:00Z	41111	105100	74.9	23.7505	23.894	23.7661	35.2359	212	35.2152	211.7	1999.6	8.066	2319	0.08	0.04	0.87	NA	2.23	0.327	6.9	4.6	81	0.12	0.11	19	1	6	14	17	0	6	47	60	115	7	4	11	5	0	0	42	73	502100	199700	1500	800	30.99	16.78	7.09	above DCM
HOT_231_20110412T170900_29	SAMN05991688	HOT231-0125m	HOT231	9	125	13	2310200913	2011-04-12T18:24:01Z	41211	182401	124.4	21.8857	24.369	21.9103	35.157	201.9	35.1998	202.6	2031.979773	8.024187146	2322.79206	0.11	0.41	1.32	NA	1.72	0.286	6.6	186.6224138	106.728739	0.17	0.5	37	1	35	3	40	1	4	29	161	190	28	0	28	0	0	0	36	154	345172.1719	110741.8552	545.7014	578.2805	14.01913265	11.87195592	NA	below DCM
HOT_231_20110412T170900_29	SAMN05991689	HOT231-0200m	HOT231	9	200	8	2310200908	2011-04-12T18:21:02Z	41211	182102	199.4	19.3262	25.013	19.3623	35.0987	200.6661258	35.097	201.7	2045.684783	7.973071429	2307.729814	0.13	1.28	1.99	NA	0.77	0.143	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.942272203	NA	NA	below DCM
HOT_231_20110412T111900_27	SAMN05991690	HOT231-0500m	HOT231	7	500	12	2310200712	2011-04-12T12:23:23Z	41211	122323	501	7.7426	26.618	7.7928	34.1166	110	34.0797	109.4	2212	7.508	2274	2.08	28.94	44.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_231_20110412T111900_27	SAMN05991691	HOT231-0770m	HOT231	7	770	6	2310200706	2011-04-12T12:15:28Z	41211	121528	769.5	5.0852	27.173	5.1488	34.3785	27	34.3662	27.2	2317.8	7.346	2332	2.99	40.91	89.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_231_20110412T111900_27	SAMN05991692	HOT231-1000m	HOT231	7	1000	1	2310200701	2011-04-12T12:09:04Z	41211	120904	1019	4.2135	27.348	4.293	34.477	39.3	34.4775	40.8	2335.7	7.393	2364	3	41.18	101.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_232_20110509T125100_21	SAMN05991693	HOT232-0025m	HOT232	1	25	11	2320200111	2011-05-09T13:13:40Z	50911	131340	26.6	24.3432	23.768	24.3489	35.3017	210.1	35.3078	209.7	2002.9	8.07	2320	0.03	0.01	0.77	NA	2.28	0.33	11	1.6	33.2	0.09	0.06	8	1	4	6	12	0	6	69	10	84	7	3	10	3	1	0	24	60	419495.7082	182746.3519	1399.1416	799.1416	25.43	15.58	11.45356223	above DCM
HOT_232_20110509T125100_21	SAMN05991694	HOT232-0075m	HOT232	1	75	1	2320200101	2011-05-09T13:08:07Z	50911	130807	73.3	23.0639	24.203	23.0789	35.3797	219.2	35.3839	217.8	2014.8	8.05	2323	0.02	0.01	0.88	NA	2.026242661	0.323307241	8.2	8	26.4	0.21	0.13	16	2	8	6	24	0	6	85	31	157	17	3	20	5	1	0	23	134	464900	170300	1200	600	23.23	10.46	5.32	above DCM
HOT_232_20110510T145700_210	SAMN05991695	HOT232-0125m	HOT232	10	125	13	2320201013	2011-05-10T15:43:57Z	51011	154357	126.7	21.2291	24.686	21.2536	35.3349	212.1	35.3439	213.1	2030.5	8.024	2322	0.04	0.12	1.57	NA	1.02	0.183	5	117	43.9	0.19	0.4	43	1	40	4	45	0	5	24	106	186	21	2	23	0	0	0	65	122	304900	22000	0	600	15.1	13.31	NA	below DCM
HOT_232_20110510T145700_210	SAMN05991696	HOT232-0200m	HOT232	10	200	8	2320201008	2011-05-10T15:39:42Z	51011	153942	198.3	17.8948	25.216	17.9288	34.8925	201.3	34.8961	203.9	2050.9	7.952	2297	0.22	2.56	3.85	NA	0.57	0.088	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.787507205	NA	NA	below DCM
HOT_232_20110510T090700_28	SAMN05991697	HOT232-0500m	HOT232	8	500	12	2320200812	2011-05-10T9:46:52Z	51011	94652	499.8	7.0112	26.701	7.0586	34.0904	105.5	34.0897	100.2	2224.2	7.482	2279	2.23	30.81	49.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_232_20110510T090700_28	SAMN05991698	HOT232-0770m	HOT232	8	770	6	2320200806	2011-05-10T9:39:58Z	51011	93958	770.7	5.0373	27.162	5.1006	34.3577	26.9	34.3562	26.1	2319.5	7.35	2335	3	40.7	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_232_20110510T090700_28	SAMN05991699	HOT232-1000m	HOT232	8	1000	1	2320200801	2011-05-10T9:34:08Z	51011	93408	1021.9	4.0354	27.387	4.1138	34.5033	39.8	34.5023	41.3	2333.8	7.385	2361	3	41.4	103.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_233_20110719T090900_21	SAMN05991700	HOT233-0025m	HOT233	1	25	11	2330200111	2011-07-19T9:53:03Z	71911	95303	23.9	25.3422	23.21	25.3475	34.9648	207.8	34.9628	207.5	1984.8	8.08	2304	0.09	0.03	1.05	NA	2.06	0.353	6.9	3	89.9	0.08	0.03	7	1	4	5	10	0	7	51	7	65	4	3	7	3	1	0	28	37	490900	164900	1000	1100	26.05	24.15	12.746	above DCM
HOT_233_20110719T090900_21	SAMN05991701	HOT233-0075m	HOT233	1	75	1	2330200101	2011-07-19T9:46:30Z	71911	94630	74.4	24.9638	23.298	24.9799	34.9283	211.2	34.9317	211.8	1986.6	8.073	2300	0.11	0.02	1.12	NA	1.78	0.287	16.7	4.1	101.6	0.14	0.1	12	1	6	7	17	0	6	60	16	94	6	4	10	5	1	0	39	54	354300	192200	1500	1100	31.72	20.49	9.38	above DCM
HOT_233_20110720T154200_211	SAMN05991702	HOT233-0125m	HOT233	11	125	15	2330201115	2011-07-20T16:35:15Z	72011	163515	124.9	23.4655	23.945	23.4915	35.1928	211.3	35.1863	212.5	2013.334247	8.052714041	2319.025685	0.084824121	0.004824121	0.988944724	NA	1.644639498	0.281564263	10.1	2.6	93.7	0.26	0.31	25	1	17	4	42	0	6	59	83	229	28	3	31	0	1	0	22	208	360479.4326	165415.6028	995.0355	957.4468	21.78762463	17.14	4.774156028	above DCM
HOT_233_20110720T154200_211	SAMN05991703	HOT233-0200m	HOT233	11	200	7	2330201107	2011-07-20T16:27:41Z	72011	162741	200.1	19.4292	24.922	19.4655	35.0144	196.3	35.1065	192.7	2061.4	7.944	2304	0.26	2.55	2.53	NA	0.62	0.096	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.093834483	NA	NA	below DCM
HOT_233_20110720T204600_213	SAMN05991704	HOT233-0500m	HOT233	13	500	7	2330201307	2011-07-20T21:28:52Z	72011	212852	499.8	7.0957	26.727	7.1434	34.1381	63.8	34.1617	61.3	2255.7	7.41	2289	2.54	34.22	55.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_233_20110720T204600_213	SAMN05991705	HOT233-0770m	HOT233	13	770	2	2330201302	2011-07-20T21:22:25Z	72011	212225	769.4	4.9006	27.191	4.9631	34.3753	31.5	34.3819	31.4	2320.4	7.359	2331	2.96	41.15	90.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
HOT_233_20110720T154200_211	SAMN05991706	HOT233-1000m	HOT233	11	1000	1	2330201101	2011-07-20T16:08:38Z	72011	160838	1019.6	4.0114	27.381	4.0894	34.4919	45.3	34.4928	45.4	2333.7	7.394	2357	2.98	41.61	104.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	below DCM
