SamplingEvent_ID	Cruise	Station	dateTime	Longitude [degrees_east]	Latitude [degrees_north]	Sampling Device
CTD_39_2011-06-01T12:02:53	GP13	36	2011-06-01T12:02:53	188.00101	-32.4998	CTD
CTD_7010_1_CTD_2011-06-14T00:36:42	GP13	7010	2011-06-14T00:36:42	195.009	-32.5037	CTD
CTD_7010_3_CTD_2011-06-14T00:36:42	GP13	7010	2011-06-14T00:36:42	195.009	-32.5037	CTD
CTD_7011_1_CTD_2011-06-14T18:16:46	GP13	7011	2011-06-14T18:16:46	196.00999	-32.5055	CTD
CTD_7019_1_CTD_2011-06-18T20:39:13	GP13	7019	2011-06-18T20:39:13	203.991	-32.5035	CTD
CTD_7020_1_CTD_2011-06-19T06:57:23	GP13	7020	2011-06-19T06:57:23	205.00101	-32.4944	CTD
CTD_7021_1_CTD_2011-06-19T20:25:45	GP13	7021	2011-06-19T20:25:45	205.996	-32.496	CTD
CTD_7021_3_CTD_2011-06-19T20:25:45	GP13	7021	2011-06-19T20:25:45	205.996	-32.496	CTD
CTD_7022_1_CTD_2011-06-20T13:15:47	GP13	7022	2011-06-20T13:15:47	206.995	-32.4937	CTD
CTD_7007_1_CTD_2011-06-12T17:23:53	GP13	7007	2011-06-12T17:23:53	191.998	-32.4955	CTD
CTD_7008_1_CTD_2011-06-13T03:07:58	GP13	7008	2011-06-13T03:07:58	192.995	-32.4951	CTD
CTD_7009_1_CTD_2011-06-13T13:14:12	GP13	7009	2011-06-13T13:14:12	194.007	-32.4946	CTD
CTD_7012_1_CTD_2011-06-15T09:41:47	GP13	7012	2011-06-15T09:41:47	197.00301	-32.5039	CTD
CTD_7013_1_CTD_2011-06-15T22:11:58	GP13	7013	2011-06-15T22:11:58	197.985	-32.508	CTD
CTD_7014_1_CTD_2011-06-16T08:47:10	GP13	7014	2011-06-16T08:47:10	199.00101	-32.5008	CTD
CTD_7015_1_CTD_2011-06-16T18:01:28	GP13	7015	2011-06-16T18:01:28	199.989	-32.5075	CTD
CTD_7023_1_CTD_2011-06-21T01:59:18	GP13	7023	2011-06-21T01:59:18	208.00301	-32.5029	CTD
CTD_7024_1_CTD_2011-06-21T13:48:07	GP13	7024	2011-06-21T13:48:07	208.99699	-32.4945	CTD
CTD_29_2011-05-26T22:17:00	GP13	26	2011-05-26T22:17:00	178	-31.5988	CTD
CTD_32_2011-05-28T11:09:40	GP13	29	2011-05-28T11:09:40	180.875	-32.4995	CTD
CTD_7004_1_CTD_2011-06-10T23:45:49	GP13	7004	2011-06-10T23:45:49	189.00999	-32.4927	CTD
CTD_7005_1_CTD_2011-06-11T11:26:28	GP13	7005	2011-06-11T11:26:28	190.006	-32.4923	CTD
CTD_7005_3_CTD_2011-06-11T11:26:28	GP13	7005	2011-06-11T11:26:28	190.006	-32.4923	CTD
CTD_7006_1_CTD_2011-06-12T07:56:00	GP13	7006	2011-06-12T07:56:00	191.00101	-32.4977	CTD
CTD_CTD005_S_2010-10-19T01:56:39	GA10	Station 1	2010-10-19T01:56:39	17.0538	-34.6197	CTD
CTD_CTD008_S_2010-10-20T04:59:20	GA10	Station 2	2010-10-20T04:59:20	14.9537	-35.4147	CTD
CTD_CTD011_S_2010-10-23T09:01:22	GA10	Station 3	2010-10-23T09:01:22	13.2704	-36.4658	CTD
CTD_CTD018_S_2010-10-25T23:45:39	GA10	Station 4	2010-10-25T23:45:39	10.0524	-38.416	CTD
CTD_CTD021_S_2010-10-27T14:14:39	GA10	Station 5	2010-10-27T14:14:39	5.52473	-40.0445	CTD
CTD_CTD024_S_2010-10-29T18:36:13	GA10	Station 6	2010-10-29T18:36:13	0.86865	-40.0054	CTD
CTD_CTD032_S_2010-11-10T07:16:39	GA10	Station 9	2010-11-10T07:16:39	16.0595	-34.9184	CTD
CTD_CTD035_S_2010-11-12T08:52:30	GA10	Station 3 reoccupied	2010-11-12T08:52:30	13.231	-36.4502	CTD
CTD_CTD039_S_2010-11-14T23:18:21	GA10	Station 11	2010-11-14T23:18:21	7.72904	-39.2549	CTD
