SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_N000002739	TARA_20120223Z	TARA_151	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	5286.141793	5034.149686	6.940453083	3598.85	7.163827809	17700.9	0.732395269
TARA_N000002749	TARA_20120223Z	TARA_151	TARA_20120309T1111Z_151_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	4020.600387	3876.811074	6.781088813	2821.83	7.119164683	14771.9	0.741542746
TARA_N000002753	TARA_20120223Z	TARA_151	TARA_20120309T0949Z_151_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	4020.600387	3876.811074	6.781088813	2821.83	7.119164683	14771.9	0.741542746
TARA_N000002737	TARA_20120223Z	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.414522	0.652942	0.21194	0.53449	0.844305	0.585611	4020.600387	3876.811074	6.781088813	2821.83	7.119164683	14771.9	0.741542746
TARA_N000002719	TARA_20120223Z	TARA_150	TARA_20120305T1957Z_150_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4224.929725	4039.500295	6.754542143	2919.16	7.216137911	17443.7	0.738848782
TARA_N000002717	TARA_20120223Z	TARA_150	TARA_20120305T1647Z_150_EVENT_NET	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4224.929725	4039.500295	6.754542143	2919.16	7.216137911	17443.7	0.738848782
TARA_N000002699	TARA_20120223Z	TARA_150	TARA_20120305T1345Z_150_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4161.155167	3971.400089	6.777680429	2918.03	7.132661527	14688.2	0.743388576
TARA_N000002701	TARA_20120223Z	TARA_150	TARA_20120305T1207Z_150_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4161.155167	3971.400089	6.777680429	2918.03	7.132661527	14688.2	0.743388576
TARA_N000002703	TARA_20120223Z	TARA_150	TARA_20120305T1033Z_150_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.243874	0.578519	0.360266	0.637686	0.745227	0.619626	4161.155167	3971.400089	6.777680429	2918.03	7.132661527	14688.2	0.743388576
TARA_N000002117	TARA_20120223Z	TARA_148	TARA_20120224T1514Z_148_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.339952	0.548084	0.021346	0.257183	0.574645	0.515841	4282.461147	4066.914125	6.754100284	2899.6	7.16764281	15942.5	0.740708268
TARA_N000002119	TARA_20120223Z	TARA_148	TARA_20120224T1351Z_148_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.339952	0.548084	0.021346	0.257183	0.574645	0.515841	4282.461147	4066.914125	6.754100284	2899.6	7.16764281	15942.5	0.740708268
TARA_N000002111	TARA_20120223Z	TARA_148	TARA_20120224T1140Z_148_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.339952	0.548084	0.021346	0.257183	0.574645	0.515841	4282.461147	4066.914125	6.754100284	2899.6	7.16764281	15942.5	0.740708268
TARA_N000002107	TARA_20120212Z	TARA_147	TARA_20120218T1954Z_147_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.386692	0.621574	0.056925	0.299405	0.513443	0.483964	NA	NA	NA	NA	NA	NA	NA
TARA_N000002109	TARA_20120212Z	TARA_147	TARA_20120218T1910Z_147_EVENT_NET	SRF	surface water layer (ENVO:00002042)	0.386692	0.621574	0.056925	0.299405	0.513443	0.483964	NA	NA	NA	NA	NA	NA	NA
