Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_voume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity
AN10_S25_18062010930	SAMN02628397	0.07371	SRS581938	ACM52	78.48	0.65	84.92	18-06-2010	9:30:00	18-06-2010T09:30:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	9.5	"R/V Knorr, May-June 2010"	19.65	Station 25	1328987	2057.58	29.21	1.23
AN10_S25_18062010845	SAMN02628398	0.07371	SRS581963	ACM58	78.48	0.65	84.92	18-06-2010	8:45:00	18-06-2010T08:45:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	2	0.2	108.6	3.95	31.87	9.7	"R/V Knorr, May-June 2010"	19.65	Station 25	852842	2057.58	29.21	1.23
AN10_S27_21062010843	SAMN02628399	0.08036	SRS582460	ACM59	16.11	0.19	95.44	21-06-2010	8:43:00	21-06-2010T08:43:00	4.21	1023.05	3.89	2005	188.39	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	12.41	-52.22	2	0.2	96.95	3.92	36.03	12.5	"R/V Knorr, May-June 2010"	23.04	Station 27	158696	1621.32	28.4	1.07
AN10_S27_21062010755	SAMN02628400	0.08036	SRS577865	ACM60	16.11	0.19	95.44	21-06-2010	7:55:00	21-06-2010T07:55:00	4.21	1023.05	3.89	2005	188.39	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	12.41	-52.22	156	2	96.95	3.92	36.03	9.6	"R/V Knorr, May-June 2010"	23.04	Station 27	20515	1621.32	28.4	1.07
AN12J_S4_180720121043	SAMN05944613	0.1773	SRS1776211	ACJ8	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92	6.5	"R/V Atlantis, July 2012"	13.03	Station 4	4108.9	1226	28.99	-999
AN12J_S4_180720121043	SAMN05944612	0.1773	SRS1776212	ACJ7	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	2	0.2		1.2	22.92	6.5	"R/V Atlantis, July 2012"	13.03	Station 4	4683.1	1226	28.99	-999
AN12J_S4_180720121043	SAMN05944611	0.1773	SRS1776206	ACJ6	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92	7	"R/V Atlantis, July 2012"	13.03	Station 4	10827.5	1226	28.99	-999
AN12J_S4_180720121043	SAMN05944610	0.1773	SRS1776209	ACJ5	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	2	0.2		1.2	22.92	7	"R/V Atlantis, July 2012"	13.03	Station 4	11560.2	1226	28.99	-999
AN12J_S6_210720120941	SAMN05944609	0.026	SRS1776205	ACJ10	1079	11.75	5.3	21-07-2012	9:41:00	21-07-2012T09:41:00	1	1020.1	2	1644	239.1	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.47	Atlantic Ocean:Western Tropical North Atlantic Ocean	3.506	-50.5	156	2	115.7	1.2	31.91	7	"R/V Atlantis, July 2012"	20.09	Station 6	6478	1399	27.96	-999
AN12J_S2_150720121055	SAMN05944608	0.1221	SRS1776208	ACJ4	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	156	2	57	1.2	33.85	19	"R/V Atlantis, July 2012"	21.43	Station 2	3500.4	900	28.33	-999
AN12J_S2_150720121055	SAMN05944607	0.1221	SRS1776210	ACJ3	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	2	0.2	57	1.2	33.85	19	"R/V Atlantis, July 2012"	21.43	Station 2	627.8	900	28.33	-999
AN12J_S2_150720121055	SAMN05944606	0.1221	SRS1776203	ACJ2	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	156	2	57	1.2	33.85	19	"R/V Atlantis, July 2012"	21.43	Station 2	615.4	900	28.33	-999
AN12J_S2_150720121055	SAMN05944605	0.1221	SRS1776207	ACJ1	647	0.21	94.8	15-07-2012	10:55:00	15-07-2012T10:55:00	15	1021.4	2		112.6	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.1	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.664	-55.032	2	0.2	57	1.2	33.85	19	"R/V Atlantis, July 2012"	21.43	Station 2	2122.3	900	28.33	-999
AN12J_S10_220720161029	SAMN05944604	0.0218	SRS1776204	ACJ14	965	55.26	0	22-07-2016	10:29:00	22-07-2016T10:29:00	3	996.1	2	415	147.8	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	1.46	Atlantic Ocean:Western Tropical North Atlantic Ocean	1.338	-49.371	156	2	44.5	1.2	0.05	1.1	"R/V Atlantis, July 2012"	-3.91	Station 10	231566.8	2470	28.64	-999
