Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20130827T0153Z_189_EVENT_PUMP	SV Tara	TARA_20130801Z	TARA_189	High Volume Peristaltic Pump	2013-08-27 01:53:00	77.9028	117.1545	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	171	285	115	summer	middle	descending	0.59	day	1212	10.533833	12.036314	11.26295185	15.248047	-0.02125925	0.001270051	7.7344e-05	0.000620584	0.001068167	0.00842355	0.006793675	4.560707092	1.474903521	NA	NA	29.3207	NA	NA	NA	NA	NA	NA	-1071	76.6067	112.4667	47.9959	NA	2.7834e-05	NA	NA	NA	0	0	NA	NA	120	NA	NA
TARA_20130815T0030Z_188_EVENT_PUMP	SV Tara	TARA_20130801Z	TARA_188	High Volume Peristaltic Pump	2013-08-15 00:30:00	78.2518	91.8557	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	46.51916606	NA	NA	NA	summer	middle	ascending	0.62	day	1440	NA	NA	NA	NA	0.18057625	0.001304139	5.8729e-05	0.002257904	0.002631022	0.010750825	0.008358364	4.442976594	1.301810507	NA	NA	16.1385	NA	NA	NA	NA	NA	NA	-33	78.1667	93.7	112.7778	2.8604	8.592e-06	-0.818284	-1.192273	-0.072783	0	0	91.7249	78.30365	0	NA	NA
TARA_20130718T0204Z_180_EVENT_PUMP	SV Tara	TARA_20130629Z	TARA_180	High Volume Peristaltic Pump	2013-07-18 02:04:00	74.8023	76.1478	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	194	290	97	summer	early	ascending	0.75	day	1440	52.683853	43.46007	42.643713	36.22067	2.358553375	0.001387656	0	0.003474399	0.00215763	0.01667134	0.008818139	2.7429805	0.811017362	NA	5.26425457	17.6348	0.034198148	NA	NA	NA	1359.407349	0.000245386	-32	74.6	79.3	171.3892	NA	4.0885e-05	6.149173	4.466754	0.010402	0	3.777778	75.459	75.17165	0	NA	NA
TARA_20130715T0211Z_178_EVENT_PUMP	SV Tara	TARA_20130629Z	TARA_178	High Volume Peristaltic Pump	2013-07-15 02:11:00	77.1604	73.2057	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	170	295	126	summer	early	ascending	0.43	day	1440	33.437485	37.769543	37.84646606	36.34952	1.77841075	0.001328503	2.84e-05	0.003428314	0.002561961	0.021517911	0.01030802	5.088556846	0.64738408	NA	0.218093291	62.2831	0.344590684	NA	NA	NA	64.08536911	0.000319432	-318	76.9646	68.4333	96.5746	3.0358	0.00014182	5.564065	6.62396	-0.040917	0	0	73.23525	77.2342	0	NA	NA
TARA_20130710T0358Z_175_EVENT_PUMP	SV Tara	TARA_20130629Z	TARA_175	High Volume Peristaltic Pump	2013-07-10 03:58:00	79.2233	66.3435	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	161	300	140	summer	early	ascending	0.05	day	1440	17.529825	32.520447	32.31226158	29.546314	1.2978415	0.00109338	3.2798e-05	0.000589373	0.000597931	0.003293654	0.003559849	6.750465393	2.161967202	NA	0.418657914	124.7503	0.840592176	NA	NA	NA	94.31935501	0.00045784	-440	79.9542	59.7333	113.2174	1.0604	NA	NA	NA	NA	0	0	66.3838	79.3429	0	NA	NA
TARA_20130708T0412Z_173_EVENT_PUMP	SV Tara	TARA_20130629Z	TARA_173	High Volume Peristaltic Pump	2013-07-08 04:12:00	78.9564	79.4201	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	5.30974521	191	304	114	summer	early	new moon	0	day	1440	42.48373	41.98166	42.62888718	34.829765	1.05280675	0.001215531	0.000111699	0.004081616	0.00388008	0.020618707	0.012523746	6.240898371	1.450705525	NA	NA	85.1855	0.233046579	NA	NA	NA	NA	NA	-87	79.5	77.5	102.636	0.84307	4.658e-05	2.7071	2.341202	NA	0	4.833333	79.24025	78.93905	0	NA	NA
TARA_20130701T0320Z_168_EVENT_PUMP	SV Tara	TARA_20130629Z	TARA_168	High Volume Peristaltic Pump	2013-07-01 03:20:00	72.5128	44.0775	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	summer	early	descending	0.37	day	1440	55.558044	42.681683	41.38299751	35.262463	8.042212375	0.000430005	0.000129695	0.006979311	0.004586708	0.001609991	0.00330009	0.041430494	0.052663169	NA	0.56983164	48.5056	0.457819243	NA	NA	NA	116.7825508	0.00057966	-267	72.041	51.5	230.6333	0.45599	8.042e-06	2.081364	-0.467256	-0.011538	0.011037	1.222222	44.1263	72.5817	0	72.292098	41.906243
TARA_20130609T0739Z_163_EVENT_PUMP	SV Tara	TARA_20130519Z	TARA_163	High Volume Peristaltic Pump	2013-06-09 07:39:00	76.1825	1.3918	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0	1	365	365	spring	late	ascending	0.01	day	1440	25.40672	33.79629	29.74349403	32.274784	2.129203	0.000874157	7.9054e-05	0.014557052	0.019138747	0.018939177	0.017551926	11.743258	1.243663433	NA	7.650969982	109.6568	0.661765183	NA	NA	NA	364.1092834	0.000462997	-3083	77.3	14.1481	346.2418	0.38918	7.7789e-05	4.477771	-4.544907	-0.007624	0.058176	3.277778	NA	NA	120	78.304451	0.491451
TARA_20130603T0731Z_158_EVENT_PUMP	SV Tara	TARA_20130519Z	TARA_158	High Volume Peristaltic Pump	2013-06-03 07:31:00	67.141	0.2355	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	0	1	365	365	spring	late	descending	0.23	day	1440	35.128124	27.483475	30.37726593	32.380615	4.84735	0.000599484	8.2015e-05	0.023701385	0.026346932	0.03278591	0.018828737	5.405942082	2.137181939	NA	0.548190624	45.8727	NA	NA	NA	NA	114.9631805	0.000797054	-3336	66.5	12.0333	428.6527	0.2687	3.737e-06	-0.19002	11.79387	0.189385	0.121118	0	NA	NA	120	65.329772	-0.522795
TARA_20130524T0536Z_155_EVENT_PUMP	SV Tara	TARA_20130519Z	TARA_155	High Volume Peristaltic Pump	2013-05-24 05:36:00	54.5305	-16.9377	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	0	1	365	365	spring	early	ascending	0.99	day	993	28.006416	41.846096	38.41962242	35.49691	11.18222425	0.000426156	0.00011786	0.007189205	0.003951525	0.010129768	0.012779939	0.689068984	1.024733537	NA	0.162585288	74.1214	1.129544819	NA	NA	NA	51.89796257	0.000185435	-2484	54.1333	-10.2378	147.2155	0.54836	5.675e-06	17.976264	13.121108	0.157922	0.101888	0	-14.654834	53.061416	57	51.874891	-14.634843
