SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite_min	Nitrite_first_quartile	Nitrite_median	Nitrite_third_quartile	Nitrite_max	Phosphate_min	Phosphate_first_quartile	Phosphate_median	Phosphate_third_quartile	Phosphate_max	Nitrate and Nitrite_min	Nitrate and Nitrite_first_quartile	Nitrate and Nitrite_median	Nitrate and Nitrite_third_quartile	Nitrate and Nitrite_max	Silicate_min	Silicate_first_quartile	Silicate_median	Silicate_third_quartile	Silicate_max
TARA_R110000851	SAMEA4397627	ERS1309076	TARA_188	TARA_20130815T0754Z_188_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	17	0.22	TARA_188_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130815T0754Z_188_EVENT_PUMP_DCM_(17m)_SEQ-(FeCl3)_W<0.22_R110000851	tara_20130815t0037z_188_event_cast	12.6822	P00DT07H19M	5	0.074	0.08675	0.124	0.148625	0.1565	0.164496	0.25885	0.307592	0.346245	0.394927	0.513	1.01625	1.227	1.737875	1.8035	0	0.416202	0.851791	1.215342	1.311768
TARA_R110000850	SAMEA4397586	ERS1309035	TARA_188	TARA_20130815T0030Z_188_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_188_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130815T0030Z_188_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000850	tara_20130815t0037z_188_event_cast	0.117	P00DT00H04M	5	0.0505	0.053875	0.074	0.09925	0.124	0.164496	0.168214	0.216027	0.294624	0.307592	0.172	0.266125	0.513	1.19475	1.227	0	0.048883	0.465648	0.632425	0.851791
TARA_R110002126	SAMEA4397536	ERS1308985	TARA_180	TARA_20130718T0827Z_180_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	0.22	TARA_180_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130718T0827Z_180_EVENT_PUMP_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R110002126	"tara_20130718t0210z_180_event_cast,tara_20130719t0213z_181_event_cast,tara_20130717t0959z_179_event_cast"	3.3593-97.9446	P00DT06H18M	6	0.063667	0.066667	0.075667	0.080167	0.081667	0.42164	0.434456	0.482771	0.512475	0.519088	1.539	1.673917	2.080833	2.23825	2.29	8.279136	8.398763	8.877352	9.632178	9.843883
TARA_R110000868	SAMEA4397489	ERS1308938	TARA_180	TARA_20130718T0204Z_180_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_180_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130718T0204Z_180_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000868	"tara_20130718t0210z_180_event_cast,tara_20130719t0213z_181_event_cast,tara_20130717t0959z_179_event_cast"	0.072718-95.7027	P00DT00H04M	7	0.008	0.009	0.014667	0.030833	0.035333	0.114687	0.134954	0.238302	0.329746	0.346045	0.220667	0.225	0.247333	0.392917	0.438333	9.194529	9.638477	11.775524	13.431008	13.714434
TARA_R110002124	SAMEA4397445	ERS1308894	TARA_178	TARA_20130715T0211Z_178_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_178_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130715T0211Z_178_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002124	"tara_20130715t0215z_178_event_cast,tara_20130715t0446z_178_event_cast,tara_20130714t0259z_177_event_cast"	0.23937-86.4025	P00DT00H02M	3	0.008333	0.008333	0.008333	0.008333	0.008333	0.047034	0.047034	0.047034	0.047034	0.047034	0.278	0.278	0.278	0.278	0.278	0.244154	0.244154	0.244154	0.244154	0.244154
TARA_R110002094	SAMEA4397409	ERS1308858	TARA_175	TARA_20130711T0613Z_175_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	10-100	0.22	TARA_175_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130711T0613Z_175_Combined-EVENTS_CAST_MIX_(10-100m)_SEQ-(FeCl3)_W<0.22_R110002094	"tara_20130710t0825z_175_event_cast,tara_20130710t0408z_175_event_cast"	12.3831-15.3805	P00DT21H48M	6	0	0	0.0475	0.071	0.092	0.123323	0.129186	0.35669	0.643293	0.686415	0.582	0.798	2.5925	9.86	10.915	1.362299	1.479362	1.74362	2.949126	4.007435
TARA_R110002111	SAMEA4397363	ERS1308812	TARA_175	TARA_20130710T1100Z_175_Combined-EVENTS_CAST	[ZZZ] marine water layer (ENVO:01000295)	199	0.22	TARA_175_ZZZ_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130710T1100Z_175_Combined-EVENTS_CAST_ZZZ_(199m)_SEQ-(FeCl3)_W<0.22_R110002111	"tara_20130710t0825z_175_event_cast,tara_20130710t0408z_175_event_cast"	0.47849-3.7212	P00DT02H35M	1	0.019	0.019	0.019	0.019	0.019	0.730535	0.730535	0.730535	0.730535	0.730535	11.508	11.508	11.508	11.508	11.508	4.994604	4.994604	4.994604	4.994604	4.994604
TARA_R110002110	SAMEA4397330	ERS1308779	TARA_175	TARA_20130710T0358Z_175_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_175_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130710T0358Z_175_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002110	"tara_20130710t0408z_175_event_cast,tara_20130710t0825z_175_event_cast"	0.061741-4.1098	P00DT00H09M	2	0.001	0.001	0.001	0.001	0.001	0.063634	0.063634	0.063634	0.063634	0.063634	0.3685	0.3685	0.3685	0.3685	0.3685	0.523062	0.523062	0.523062	0.523062	0.523062
TARA_R110002096	SAMEA4397295	ERS1308744	TARA_173	TARA_20130708T1100Z_173_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	0.22	TARA_173_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130708T1100Z_173_EVENT_PUMP_DCM_(35m)_SEQ-(FeCl3)_W<0.22_R110002096	tara_20130708t0502z_173_event_cast	7.0813	P00DT05H59M	1	0.026	0.026	0.026	0.026	0.026	0.209065	0.209065	0.209065	0.209065	0.209065	1.709	1.709	1.709	1.709	1.709	0.231772	0.231772	0.231772	0.231772	0.231772
TARA_R110002095	SAMEA4397255	ERS1308704	TARA_173	TARA_20130708T0412Z_173_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_173_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130708T0412Z_173_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002095	tara_20130708t0502z_173_event_cast	0.93053	P00DT00H48M	2	0	0	0.0015	0.003	0.003	0	0	0.056871	0.118687	0.118687	0.098	0.098	0.441	0.784	0.784	0.165567	0.165567	0.273079	0.38059	0.38059
