SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_R110000737	SAMEA4398027	ERS1309476	TARA_201	TARA_20130930T1502Z_201_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_201_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130930T1502Z_201_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000737	"tara_20130930t1302z_201_event_cast,tara_20130930t1932z_201_event_cast"	1.521	P00DT01H52M	1	7.802	7.802	7.802	7.802	7.802	0.0365	0.045125	0.071	0.07265	0.0732	0.0071	0.007525	0.0088	0.0121	0.0132	0.2115	0.2547	0.3843	0.44025	0.4589	0.0034	0.0035	0.0038	0.00485	0.0052	0.0116	0.011925	0.0129	0.012975	0.013	0.0042	0.0043	0.0046	0.0064	0.007
TARA_R110000751	SAMEA4398001	ERS1309450	TARA_201	TARA_20130929T1637Z_201_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	441	432	450	0.22	TARA_201_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130929T1637Z_201_Combined-EVENTS_CAST_MES_(441m)_SEQ-(FeCl3)_W<0.22_R110000751	"tara_20130930t1302z_201_event_cast,tara_20130930t1932z_201_event_cast"	1.7881	P00DT20H32M	1	7.705	7.705	7.705	7.705	7.705	0	0	0	0	0	0	0	0	0	0	0.0118	0.0118	0.0118	0.0118	0.0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_R110000772	SAMEA4397948	ERS1309397	TARA_196	TARA_20130914T1730Z_196_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_196_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130914T1730Z_196_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000772	tara_20130914t1732z_196_event_cast	0.2105	P00DT00H00M	1	7.913	7.913	7.913	7.913	7.913	0.0038	0.0038	0.00425	0.0047	0.0047	0.0085	0.0085	0.00885	0.0092	0.0092	0.2215	0.2215	0.22775	0.234	0.234	0.0158	0.0158	0.02025	0.0247	0.0247	0.0361	0.0361	0.0429	0.0497	0.0497	0.0146	0.0146	0.01855	0.0225	0.0225
TARA_R110000787	SAMEA4397920	ERS1309369	TARA_194	TARA_20130912T0359Z_194_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	0.22	TARA_194_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130912T0359Z_194_EVENT_PUMP_DCM_(35m)_SEQ-(FeCl3)_W<0.22_R110000787	tara_20130912t0043z_194_event_cast	10.7942	P00DT03H11M	0	NA	NA	NA	NA	NA	0.0147	0.0147	0.0212	0.0277	0.0277	0	0	0	0	0	0.2649	0.2649	0.2799	0.2949	0.2949	0	0	0.0017	0.0034	0.0034	0.0035	0.0035	0.0065	0.0095	0.0095	0.0011	0.0011	0.00185	0.0026	0.0026
TARA_R110000782	SAMEA4397859	ERS1309308	TARA_194	TARA_20130911T2000Z_194_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_194_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130911T2000Z_194_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000782	tara_20130912t0043z_194_event_cast	12.7485	P00DT04H47M	1	7.963	7.963	7.963	7.963	7.963	0	0	0	0	0	0.0029	0.0031	0.0037	0.0061	0.0069	0.0527	0.055975	0.0658	0.0829	0.0886	0.0027	0.002825	0.0032	0.00335	0.0034	0.0046	0.004975	0.0061	0.007525	0.008	0.0038	0.003925	0.0043	0.004525	0.0046
TARA_R110000796	SAMEA4397815	ERS1309264	TARA_193	TARA_20130908T0245Z_193_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_193_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130908T0245Z_193_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000796	tara_20130908t0250z_193_event_cast	0.003034	P00DT00H01M	1	7.964	7.964	7.964	7.964	7.964	0.002	0.002	0.002	0.002	0.002	0.0072	0.0072	0.0072	0.0072	0.0072	0.1744	0.1744	0.1744	0.1744	0.1744	0.0031	0.0031	0.0031	0.0031	0.0031	0.0078	0.0078	0.0078	0.0078	0.0078	0.0063	0.0063	0.0063	0.0063	0.0063
TARA_R110000803	SAMEA4397772	ERS1309221	TARA_191	TARA_20130902T2237Z_191_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_191_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130902T2237Z_191_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000803	tara_20130902t2237z_191_event_cast	0.078049	P00DT00H01M	1	7.74	7.74	7.74	7.74	7.74	0.008	0.008	0.0083	0.0086	0.0086	0.0021	0.0021	0.0039	0.0057	0.0057	0.0455	0.0455	0.05735	0.0692	0.0692	8.00E-04	8.00E-04	0.00085	9.00E-04	9.00E-04	0.0027	0.0027	0.003	0.0033	0.0033	6.00E-04	6.00E-04	7.00E-04	8.00E-04	8.00E-04
TARA_R110000824	SAMEA4397747	ERS1309196	TARA_189	TARA_20130828T0047Z_189_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	299	290	308	0.22	TARA_189_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130828T0047Z_189_Combined-EVENTS_CAST_MES_(299m)_SEQ-(FeCl3)_W<0.22_R110000824	tara_20130827t0811z_189_event_cast	18.4598	P00DT16H37M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000823	SAMEA4397722	ERS1309171	TARA_189	TARA_20130827T1140Z_189_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	18	22	0.22	TARA_189_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130827T1140Z_189_EVENT_PUMP_DCM_(20m)_SEQ-(FeCl3)_W<0.22_R110000823	tara_20130827t0811z_189_event_cast	8.8002	P00DT03H30M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000822	SAMEA4397666	ERS1309115	TARA_189	TARA_20130827T0153Z_189_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_189_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130827T0153Z_189_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000822	tara_20130827t0811z_189_event_cast	5.0443	P00DT06H16M	1	7.857	7.857	7.857	7.857	7.857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
