SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_R100000353	TARA_20100624Z	TARA_056	TARA_20100626T0705Z_056_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	NA	NA	3652.261779	3471.917108	6.515589473	2407.21	7.079349059	13542.6	0.744129968
TARA_R100000231	TARA_20100515Z	TARA_052	TARA_20100517T0410Z_052_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.306166	0.34936	0.093436	0.096603	0.616158	0.555372	3095.716572	3016.225618	6.256172187	2127.19	7.081807802	14573.1	0.738694041
TARA_R100000426	TARA_20100410Z	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.262804	0.3026	0.132355	0.149665	0.613509	0.631249	NA	NA	NA	NA	NA	NA	NA
TARA_R100000388	TARA_20100410Z	TARA_045	TARA_20100413T0321Z_045_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.298696	0.351874	0.15264	0.17666	0.720083	0.751625	3345.27664	3225.590903	6.296286671	2154.34	7.059681191	14553	0.736492064
TARA_R100000501	TARA_20100309Z	TARA_039	TARA_20100320T0817Z_039_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.386281	0.498761	0.57099	0.741752	0.595296	0.51759	NA	NA	NA	NA	NA	NA	NA
TARA_R100000093	TARA_20100309Z	TARA_038	TARA_20100316T0614Z_038_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.542872	0.783864	0.899091	1.260945	0.686923	0.579343	NA	NA	NA	NA	NA	NA	NA
TARA_R100000049	TARA_20100309Z	TARA_037	TARA_20100313T0507Z_037_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_A100001201	TARA_20100108Z	TARA_033	TARA_20100113T0716Z_033_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.501863	0.756822	0.588666	0.782078	0.253177	0.528461	2993.087996	2926.880836	6.469166693	2143.13	7.164565603	13578.1	0.752880222
TARA_X000001316	TARA_20090926Z	TARA_011	TARA_20091004T0830Z_011_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001510	TARA_20110509Z	TARA_109	TARA_20110512T2215Z_109_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.60986	0.924485	0.469593	0.880762	0.579228	0.500877	NA	NA	NA	NA	NA	NA	NA
TARA_R100001509	TARA_20110509Z	TARA_109	TARA_20110512T1400Z_109_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.60986	0.924485	0.469593	0.880762	0.579228	0.500877	NA	NA	NA	NA	NA	NA	NA
TARA_R100001377	TARA_20101231Z	TARA_085	TARA_20110106T1936Z_085_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0	0.037107	0	0.045695	0.613024	0.49805	NA	NA	NA	NA	NA	NA	NA
TARA_R100000544	TARA_20101126Z	TARA_082	TARA_20101206T1858Z_082_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.476837	0.584962	0.800841	0.848641	0.894431	0.724874	NA	NA	NA	NA	NA	NA	NA
TARA_R100001224	TARA_20101031Z	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	NA	NA	NA	NA	NA	NA	NA
TARA_R100001129	TARA_20101003Z	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	NA	NA	NA	NA	NA	NA	NA
TARA_R100001126	TARA_20101003Z	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	NA	NA	NA	NA	NA	NA	NA
TARA_R100001086	TARA_20101003Z	TARA_072	TARA_20101006T0759Z_072_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_R100001082	TARA_20101003Z	TARA_072	TARA_20101005T1535Z_072_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_R100001079	TARA_20101003Z	TARA_072	TARA_20101005T0800Z_072_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_R100001039	TARA_20100905Z	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.497782	0.615748	0.058983	0.069514	0.661405	0.556013	NA	NA	NA	NA	NA	NA	NA
TARA_R100001015	TARA_20100905Z	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.497782	0.615748	0.058983	0.069514	0.661405	0.556013	NA	NA	NA	NA	NA	NA	NA
TARA_R100000995	TARA_20100905Z	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	NA	NA	NA	NA	NA	NA	NA
TARA_R100000988	TARA_20100905Z	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	NA	NA	NA	NA	NA	NA	NA
TARA_R100000951	TARA_20100905Z	TARA_067	TARA_20100907T0619Z_067_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.782904	0.949089	0.993598	1.183984	0.993712	0.863959	NA	NA	NA	NA	NA	NA	NA
