SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration(ISO)	Number of observations	Nitrite	Nitrite_1	Nitrite_2	Nitrite_3	Nitrite_4	Phosphate	Phosphate_1	Phosphate_2	Phosphate_3	Phosphate_4	Nitrate and Nitrite	Nitrate and Nitrite_1	Nitrate and Nitrite_2	Nitrate and Nitrite_3	Nitrate and Nitrite_4	Silicate	Silicate_1	Silicate_2	Silicate_3	Silicate_4
TARA_R100001594	SAMEA2622752	ERS492797	TARA_123	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	150	148	152	0.22	TARA_123_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MIX_(150m)_SEQ-(FeCl3)_W<0.22_R100001594	"tara_20110731t2007z_123_event_cast,tara_20110731t1725z_123_event_cast"	0.48628-0.95491	P00DT21H45M	2	1.46575	1.46575	1.46875	1.47175	1.47175	0.65945	0.65945	0.6607	0.66195	0.66195	5.4315	5.4315	5.44175	5.452	5.452	1.177	1.177	1.18375	1.1905	1.1905
TARA_R100001591	SAMEA2622725	ERS492748	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_123_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110731T1720Z_123_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001591	"tara_20110731t1725z_123_event_cast,tara_20110731t2007z_123_event_cast"	0.11502-0.71357	P00DT00H04M	1	0.14425	0.14425	0.14425	0.14425	0.14425	0.53495	0.53495	0.53495	0.53495	0.53495	4.9015	4.9015	4.9015	4.9015	4.9015	2.2205	2.2205	2.2205	2.2205	2.2205
TARA_R100000664	SAMEA2622705	ERS492714	TARA_122	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	112	117	0.22	TARA_122_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_DCM_(115m)_SEQ-(FeCl3)_W<0.22_R100000664	"tara_20110726t2114z_122_event_cast,tara_20110726t1739z_122_event_cast"	6.9563-8.2893	P01DT20H02M	2	0.084833	0.084833	0.092792	0.10075	0.10075	0.580417	0.580417	0.582933	0.58545	0.58545	2.557	2.557	2.67775	2.7985	2.7985	1.8015	1.8015	1.907042	2.012583	2.012583
TARA_R100000687	SAMEA2622685	ERS492692	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	598	602	0.22	TARA_122_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MES_(600m)_SEQ-(FeCl3)_W<0.22_R100000687	"tara_20110726t2114z_122_event_cast,tara_20110726t1739z_122_event_cast"	3.4432-4.8663	P00DT22H15M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000657	SAMEA2622667	ERS492657	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_122_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000657	"tara_20110726t1739z_122_event_cast,tara_20110726t2114z_122_event_cast"	0.62988-2.0075	P00DT00H24M	1	0.11925	0.11925	0.11925	0.11925	0.11925	0.56795	0.56795	0.56795	0.56795	0.56795	5.456	5.456	5.456	5.456	5.456	2.1905	2.1905	2.1905	2.1905	2.1905
TARA_R100000656	SAMEA2622517	ERS492399	TARA_111	TARA_20110601T1603Z_111_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	350	346	355	0.22	TARA_111_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MES_(350m)_SEQ-(FeCl3)_W<0.22_R100000656	"tara_20110531t1803z_111_event_cast,tara_20110531t1416z_111_event_cast"	4.5711-4.5814	P00DT22H00M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000655	SAMEA2622497	ERS492376	TARA_111	TARA_20110531T2030Z_111_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	90	86	95	0.22	TARA_111_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_DCM_(90m)_SEQ-(FeCl3)_W<0.22_R100000655	"tara_20110531t1803z_111_event_cast,tara_20110531t1416z_111_event_cast"	4.1266-4.776	P00DT02H28M	3	0.0835	0.113375	0.203	0.536375	0.6475	0.4375	0.438875	0.443	0.4505	0.453	0.931	1.003625	1.2215	1.461875	1.542	0.829	0.853875	0.9285	0.93075	0.9315
TARA_R100000654	SAMEA2622473	ERS492342	TARA_111	TARA_20110531T1425Z_111_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_111_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T1425Z_111_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000654	"tara_20110531t1416z_111_event_cast,tara_20110531t1803z_111_event_cast"	0.35233-8.5493	P00DT00H12M	1	0.0415	0.0415	0.0415	0.0415	0.0415	0.5	0.5	0.5	0.5	0.5	2.676	2.676	2.676	2.676	2.676	1.0325	1.0325	1.0325	1.0325	1.0325
TARA_R100001463	SAMEA2622242	ERS492035	TARA_102	TARA_20110422T2113Z_102_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_102_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T2113Z_102_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100001463	"tara_20110422t1953z_102_event_cast,tara_20110422t1517z_102_event_cast,tara_20110421t2019z_102_event_cast"	2.7093-12.5221	P00DT01H21M	1	1.202	1.202	1.202	1.202	1.202	1.8615	1.8615	1.8615	1.8615	1.8615	24.3645	24.3645	24.3645	24.3645	24.3645	10.5045	10.5045	10.5045	10.5045	10.5045
TARA_R100001480	SAMEA2622212	ERS491995	TARA_102	TARA_20110422T1210Z_102_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	480	478	482	0.22	TARA_102_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MES_(480m)_SEQ-(FeCl3)_W<0.22_R100001480	"tara_20110422t1517z_102_event_cast,tara_20110422t1953z_102_event_cast,tara_20110421t2019z_102_event_cast"	1.2233-8.98	P00DT03H05M	1	0.014	0.014	0.014	0.014	0.014	2.853	2.853	2.853	2.853	2.853	39.1775	39.1775	39.1775	39.1775	39.1775	40.579	40.579	40.579	40.579	40.579
TARA_R100001460	SAMEA2622190	ERS491955	TARA_102	TARA_20110421T2007Z_102_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_102_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110421T2007Z_102_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001460	"tara_20110421t2019z_102_event_cast,tara_20110422t1517z_102_event_cast,tara_20110422t1953z_102_event_cast"	0.72016-10.5457	P00DT00H09M	2	0.3165	0.3165	0.3285	0.3405	0.3405	1.0035	1.0035	1.02575	1.048	1.048	12.573	12.573	12.8225	13.072	13.072	4.9905	4.9905	5.04425	5.098	5.098
TARA_R100001530	SAMEA2622166	ERS491930	TARA_100	TARA_20110416T1306Z_100_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	177	174	180	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_DCM_(177m)_SEQ-(FeCl3)_W<0.22_R100001530	"tara_20110416t1306z_100_event_cast,tara_20110415t1312z_100_event_cast,tara_20110415t0122z_100_event_cast"	0.005172-4.4128	P00DT00H00M	2	0.131	0.131	0.131	0.131	0.131	2.68675	2.68675	2.68675	2.68675	2.68675	23.251	23.251	23.251	23.251	23.251	20.9015	20.9015	20.9015	20.9015	20.9015
TARA_R100001443	SAMEA2622142	ERS491897	TARA_100	TARA_20110415T1938Z_100_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1938Z_100_EVENT_PUMP_DCM_(50m)_SEQ-(FeCl3)_W<0.22_R100001443	"tara_20110415t1312z_100_event_cast,tara_20110416t1306z_100_event_cast,tara_20110415t0122z_100_event_cast"	1.4297-3.7993	P00DT06H27M	1	0.1635	0.1635	0.1635	0.1635	0.1635	0.7785	0.7785	0.7785	0.7785	0.7785	5.6545	5.6545	5.6545	5.6545	5.6545	1.8815	1.8815	1.8815	1.8815	1.8815
TARA_R100001440	SAMEA2622112	ERS491851	TARA_100	TARA_20110415T1245Z_100_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_100_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1245Z_100_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001440	"tara_20110415t1312z_100_event_cast,tara_20110415t0122z_100_event_cast,tara_20110416t1306z_100_event_cast"	1.3546-5.7237	P00DT00H25M	2	0.137	0.137	0.137	0.137	0.137	0.677	0.677	0.67725	0.6775	0.6775	6.156	6.156	6.1625	6.169	6.169	1.1445	1.1445	1.15025	1.156	1.156
TARA_R100001244	SAMEA2621564	ERS491123	TARA_085	TARA_20110107T1041Z_085_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	790	782	800	0.22	TARA_085_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MES_(790m)_SEQ-(FeCl3)_W<0.22_R100001244	"tara_20110106t1718z_085_event_cast,tara_20110106t1030z_085_event_cast"	7.5766-27.1732	P00DT17H23M	1	0.018	0.018	0.018	0.018	0.018	2.614	2.614	2.614	2.614	2.614	36.37	36.37	36.37	36.37	36.37	83.35	83.35	83.35	83.35	83.35
TARA_R100001369	SAMEA2621528	ERS491063	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_085_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110106T1038Z_085_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001369	"tara_20110106t1030z_085_event_cast,tara_20110106t1718z_085_event_cast"	0.62954-21.6469	P00DT00H11M	2	0.104	0.104	0.1055	0.107	0.107	2.1	2.1	2.1055	2.111	2.111	28.5	28.5	28.64	28.78	28.78	79.52	79.52	80.55	81.58	81.58
TARA_R100000935	SAMEA2621502	ERS491016	TARA_084	TARA_20110103T1105Z_084_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_084_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110103T1105Z_084_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000935	"tara_20110103t1117z_084_event_cast,tara_20110103t1842z_084_event_cast"	0.43015-22.8749	P00DT00H05M	1	0.266	0.266	0.266	0.266	0.266	1.723	1.723	1.723	1.723	1.723	25.3	25.3	25.3	25.3	25.3	16.55	16.55	16.55	16.55	16.55
TARA_R100000541	SAMEA2621416	ERS490900	TARA_082	TARA_20101206T1033Z_082_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_082_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101206T1033Z_082_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000541	"tara_20101206t1026z_082_event_cast,tara_20101206t1639z_082_event_cast"	0.4052-17.6728	P00DT00H07M	2	0.141	0.141	0.146	0.151	0.151	1.301	1.301	1.302	1.303	1.303	17.86	17.86	18.005	18.15	18.15	1.824	1.824	1.945	2.066	2.066
TARA_R100001143	SAMEA2621300	ERS490727	TARA_078	TARA_20101105T1235Z_078_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.22	TARA_078_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MES_(800m)_SEQ-(FeCl3)_W<0.22_R100001143	"tara_20101104t1708z_078_event_cast,tara_20101104t1024z_078_event_cast"	1.0054-3.2038	P00DT19H26M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001163	SAMEA2621285	ERS490704	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.22	TARA_078_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(FeCl3)_W<0.22_R100001163	"tara_20101104t1708z_078_event_cast,tara_20101104t1024z_078_event_cast"	1.2973-2.1901	P00DT01H09M	1	0.053	0.053	0.053	0.053	0.053	0	0	0	0	0	0.104	0.104	0.104	0.104	0.104	0.319	0.319	0.319	0.319	0.319
TARA_R100001132	SAMEA2621247	ERS490648	TARA_076	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.22	TARA_076_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(FeCl3)_W<0.22_R100001132	"tara_20101016t1415z_076_event_cast,tara_20101016t1009z_076_event_cast"	1.9965-16.5492	P00DT18H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000963	SAMEA2621010	ERS490245	TARA_068	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	0.22	TARA_068_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(FeCl3)_W<0.22_R100000963	"tara_20100913t1303z_068_event_cast,tara_20100913t1708z_068_event_cast,tara_20100913t1857z_068_event_cast"	0.003174-4.6938	P00DT00H00M	1	0.003	0.003	0.003	0.003	0.003	1.529	1.529	1.529	1.529	1.529	22.08	22.08	22.08	22.08	22.08	12.08	12.08	12.08	12.08	12.08
TARA_R100000306	SAMEA2620824	ERS489996	TARA_064	TARA_20100707T1217Z_064_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	1000	998	1002	0.22	TARA_064_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100707T1217Z_064_Combined-EVENTS_CAST_MES_(1000m)_SEQ-(FeCl3)_W<0.22_R100000306	"tara_20100707t0919z_064_event_cast,tara_20100707t0455z_064_event_cast"	1.3181-2.9615	P00DT02H58M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000329	SAMEA2620783	ERS489904	TARA_062	TARA_20100703T0809Z_062_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_062_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100703T0809Z_062_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000329	tara_20100702t1024z_061_event_cast	133.6073	P00DT21H51M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000278	SAMEA2620755	ERS489867	TARA_058	TARA_20100629T1500Z_058_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	66	64	68	0.22	TARA_058_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100629T1500Z_058_EVENT_PUMP_DCM_(66m)_SEQ-(FeCl3)_W<0.22_R100000278	tara_20100629t1313z_058_event_cast	3.716	P00DT01H47M	1	0.025376	0.025376	0.025376	0.025376	0.025376	0	0	0	0	0	0.063072	0.063072	0.063072	0.063072	0.063072	2.513803	2.513803	2.513803	2.513803	2.513803
TARA_R100000365	SAMEA2620668	ERS489729	TARA_056	TARA_20100626T0713Z_056_EVENT_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	1000	990	1008	0.22	TARA_056_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100626T0713Z_056_EVENT_CAST_MES_(1000m)_SEQ-(FeCl3)_W<0.22_R100000365	tara_20100626t1904z_999_event_cast	97.2299	P00DT11H48M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000353	SAMEA2620663	ERS489724	TARA_056	TARA_20100626T0705Z_056_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_056_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100626T0705Z_056_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000353	tara_20100626t1904z_999_event_cast	96.892	P00DT11H55M	1	0.016042	0.016042	0.016042	0.016042	0.016042	0	0	0	0	0	0	0	0	0	0	2.812112	2.812112	2.812112	2.812112	2.812112
TARA_R100000231	SAMEA2620565	ERS489552	TARA_052	TARA_20100517T0410Z_052_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_052_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100517T0410Z_052_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000231	"tara_20100517t0410z_052_event_cast,tara_20100517t0945z_052_event_cast"	0.54031-2.9085	P00DT00H13M	1	0	0	0	0	0	0.119	0.119	0.119	0.119	0.119	0	0	0	0	0	2.666	2.666	2.666	2.666	2.666
TARA_R100000426	SAMEA2620421	ERS489332	TARA_048	TARA_20100419T0756Z_048_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_048_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100419T0756Z_048_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000426	"tara_20100419t0755z_048_event_cast,tara_20100419t1337z_048_event_cast"	0.087724-21.262	P00DT00H01M	2	0.001	0.001	0.0055	0.01	0.01	0.081	0.081	0.0825	0.084	0.084	0.057	0.057	0.07475	0.0925	0.0925	2.118	2.118	2.22425	2.3305	2.3305
TARA_R100000388	SAMEA2620360	ERS489257	TARA_045	TARA_20100413T0321Z_045_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_045_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100413T0321Z_045_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000388	tara_20100413t0322z_045_event_cast	0.19011	P00DT00H00M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
