BioSample	SRA	Sample name	start collection time	end collection time	depth	environment biome	environment feature	environment material	geo_loc_name	lat	lon
SAMN09765690	SRS3630455	ALOHA_2015_XVIII-1-04	2015-05-11T01:42:00	2015-05-21T06:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765697	SRS3630432	ALOHA_2015_XVIII-1-05	2015-05-21T06:17:00	2015-05-31T10:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765676	SRS3630419	ALOHA_2015_XVIII-1-06	2015-05-31T10:51:00	2015-06-10T15:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765691	SRS3630456	ALOHA_2015_XVIII-1-07	2015-06-10T15:25:00	2015-06-20T19:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765681	SRS3630424	ALOHA_2015_XVIII-1-08	2015-06-20T19:59:00	2015-07-01T00:34:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765686	SRS3630452	ALOHA_2015_XVIII-1-09	2015-07-01T00:34:00	2015-07-11T05:08:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765675	SRS3630417	ALOHA_2015_XVIII-1-10	2015-07-11T05:08:00	2015-07-21T09:42:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765693	SRS3630449	ALOHA_2015_XVIII-1-11	2015-07-21T09:42:00	2015-07-31T14:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765687	SRS3630453	ALOHA_2015_XVIII-1-12	2015-07-31T14:17:00	2015-08-10T18:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765683	SRS3630425	ALOHA_2015_XVIII-1-13	2015-08-10T18:51:00	2015-08-20T23:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765685	SRS3630454	ALOHA_2015_XVIII-1-14	2015-08-20T23:25:00	2015-08-31T03:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765713	SRS3630436	ALOHA_2015_XVIII-1-15	2015-08-31T03:59:00	2015-09-10T08:34:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765684	SRS3630451	ALOHA_2015_XVIII-1-16	2015-09-10T08:34:00	2015-09-20T13:08:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765694	SRS3630435	ALOHA_2015_XVIII-1-17	2015-09-20T13:08:00	2015-09-30T17:42:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765702	SRS3630439	ALOHA_2015_XVIII-1-18	2015-09-30T17:42:00	2015-10-10T22:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765674	SRS3630418	ALOHA_2015_XVIII-1-19	2015-10-10T22:17:00	2015-10-21T02:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765707	SRS3630444	ALOHA_2015_XVIII-1-20	2015-10-21T02:51:00	2015-10-31T07:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765715	SRS3630440	ALOHA_2015_XVIII-1-21	2015-10-31T07:25:00	2015-11-10T11:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765706	SRS3630426	ALOHA_2016_XIX-1-01	2016-06-01T12:00:00	2016-06-09T16:34:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765688	SRS3630457	ALOHA_2016_XIX-1-02	2016-06-09T16:34:00	2016-06-17T21:08:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765678	SRS3630421	ALOHA_2016_XIX-1-03	2016-06-17T21:08:00	2016-06-26T01:42:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765692	SRS3630446	ALOHA_2016_XIX-1-04	2016-06-26T01:42:00	2016-07-04T06:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765695	SRS3630434	ALOHA_2016_XIX-1-05	2016-07-04T06:17:00	2016-07-12T10:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765679	SRS3630422	ALOHA_2016_XIX-1-06	2016-07-12T10:51:00	2016-07-20T15:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765677	SRS3630420	ALOHA_2016_XIX-1-07	2016-07-20T15:25:00	2016-07-28T19:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765703	SRS3630438	ALOHA_2016_XIX-1-08	2016-07-28T19:59:00	2016-08-06T00:34:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765709	SRS3630442	ALOHA_2016_XIX-1-09	2016-08-06T00:34:00	2016-08-14T05:08:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765680	SRS3630423	ALOHA_2016_XIX-1-10	2016-08-14T05:08:00	2016-08-22T09:42:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765698	SRS3630431	ALOHA_2016_XIX-1-11	2016-08-22T09:42:00	2016-08-30T14:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765708	SRS3630437	ALOHA_2016_XIX-1-12	2016-08-30T14:17:00	2016-09-07T18:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765714	SRS3630441	ALOHA_2016_XIX-1-13	2016-09-07T18:51:00	2016-09-15T23:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765712	SRS3630427	ALOHA_2016_XIX-1-14	2016-09-15T23:25:00	2016-09-24T03:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765704	SRS3630445	ALOHA_2016_XIX-1-15	2016-09-24T03:59:00	2016-10-02T08:34:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765689	SRS3630458	ALOHA_2016_XIX-1-16	2016-10-02T08:34:00	2016-10-10T13:08:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765699	SRS3630430	ALOHA_2016_XIX-1-17	2016-10-10T13:08:00	2016-10-18T17:42:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765696	SRS3630433	ALOHA_2016_XIX-1-18	2016-10-18T17:42:00	2016-10-26T22:17:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765682	SRS3630443	ALOHA_2016_XIX-1-19	2016-10-26T22:17:00	2016-11-04T02:51:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765710	SRS3630448	ALOHA_2016_XIX-1-20	2016-11-04T02:51:00	2016-11-12T07:25:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
SAMN09765700	SRS3630429	ALOHA_2016_XIX-1-21	2016-11-12T07:25:00	2016-11-20T11:59:00	4000	marine abyssal zone biome	marine abyssalpelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	22.8383	157.9133
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
