parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
diss_oxy	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
env_biome								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
biome_purl	biome	http://purl.obolibrary.org/obo/ENVO_00000428							string	
env_feature								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
feature_purl	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297							string	
env_material								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
feature_material	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483							string	
env_package								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
fluorescence	fluorescence of water	http://purl.obolibrary.org/obo/ENVO_3100032	miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
geo_loc_name								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
lat	latitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001620	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
lon	longitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001621	degree	http://purl.obolibrary.org/obo/UO_0000185					number	
max_filter_size	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
min_filter_size	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
oxy_sat			percent	http://purl.obolibrary.org/obo/UO_0000187				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
pressure	pressure of water	http://purl.obolibrary.org/obo/ENVO_3100033	decibar	http://purl.obolibrary.org/obo/PMO_00000034				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
salinity	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	parts per thousand	http://purl.obolibrary.org/obo/UO_0000168				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
samp_volume	water sample volume	http://purl.obolibrary.org/obo/PMO_00000025	liter	http://purl.obolibrary.org/obo/UO_0000099				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
sampling_cruise								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
sigma-theta	potential density	http://purl.obolibrary.org/obo/PMO_00000021						https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
site_name								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
std_norm_factor								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
surf_irradiance			micromole per square meter per second	http://purl.obolibrary.org/obo/PMO_00000126				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
temp	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
turbidity	turbidity of water	http://purl.obolibrary.org/obo/PMO_00000121	nephelometric turbidity unit	http://purl.obolibrary.org/obo/PMO_00000193				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
