sampling_event_ID	cruise_number	cast_number	Id	cruise_type	niskin_number	decy	lat	lon	Depth	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	Chl	Phae	p18	p19	p20	p21	filename	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	NO21	PO41
BATS_184_4_2004-01-27_16:56:00	184	4	1018400416	1	16	2004.07317	31.69	-64.13	139.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.685	36.653	36.653	26.115	203.9	20	-20.1	NA	NA	0.32	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400417	1	17	2004.07317	31.69	-64.13	159.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.157	36.627	36.627	26.234	196	19.8	-30.2	NA	NA	1.06	NA	0
BATS_184_4_2004-01-27_16:56:00	184	4	1018400418	1	18	2004.07317	31.69	-64.13	177.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.883	36.61	NA	26.292	NA	17.2	NA	NA	NA	1.62	NA	0.05
BATS_184_4_2004-01-27_16:56:00	184	4	1018400419	1	19	2004.07317	31.69	-64.13	201.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.746	36.598	36.598	26.318	199.6	19.6	-28.4	NA	NA	2.99	NA	0.1
BATS_184_4_2004-01-27_16:56:00	184	4	1018400420	1	20	2004.07317	31.69	-64.13	252.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.46	36.569	36.569	26.371	199.9	19.5	-29.4	NA	NA	3.65	NA	0.15
BATS_184_4_2004-01-27_16:56:00	184	4	1018400421	1	21	2004.07317	31.69	-64.13	300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.232	36.541	36.541	26.409	197.9	19.5	-32.3	NA	NA	4.29	NA	0.13
BATS_184_4_2004-01-27_16:56:00	184	4	1018400422	1	22	2004.07317	31.69	-64.13	399.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	17.508	36.437	36.439	26.514	191.1	19.1	-42.5	NA	NA	6.41	NA	0.18
BATS_184_4_2004-01-27_16:56:00	184	4	1018400423	1	23	2004.07317	31.69	-64.13	500.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	16.198	36.213	NA	26.655	NA	14.7	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	1018400424	1	24	2004.07317	31.69	-64.13	602.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	14.113	35.859	NA	26.847	NA	12.9	NA	NA	NA	NA	NA	NA
BATS_184_4_2004-01-27_16:56:00	184	4	2018400421	2	21	2004.12397	31.176	-64.326	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.737	36.689	NA	26.122	NA	17.4	NA	NA	NA	NA	NA	NA
