Sample_event_ID	Archive_ID	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	NO2_NO3	OXYGEN	PHSPHT	REPLICT	SALNITY	SIGMA	SILCAT	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_10	SAMN07137025	HOT144	33KI144_1	33KI144/1	2	9	PRS2	2003-01-17T17:59:00Z	11703	2003	1	17	1759	-157.9882	22.7363	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot144.sum	14	4.4	205.6	35.3428	23.6929				1	35.3425	23.992		23.6919	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_10	SAMN07137026	HOT144	33KI144_1	33KI144/1	2	9	PRS2	2003-01-17T17:59:00Z	11703	2003	1	17	1759	-157.9882	22.7363	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot144.sum	6	123.9	202.6	35.2988	22.2437				1	35.2982	24.383		22.219	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_10	SAMN07137027	HOT144	33KI144_1	33KI144/1	2	9	PRS2	2003-01-17T17:59:00Z	11703	2003	1	17	1759	-157.9882	22.7363	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot144.sum	4	173.9	195.5	35.1493	19.8944				1	35.1581	24.912		19.8624	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_11	SAMN07137028	HOT145	33KI145_1	33KI145/1	2	3	PRS2	2003-02-25T20:57:00Z	22503	2003	2	25	2057	-158.0155	22.7607	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot145.sum	18	4.3	312.7	35.322	23.2926				1	35.3214	24.093		23.2917	19	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_11	SAMN07137029	HOT145	33KI145_1	33KI145/1	2	3	PRS2	2003-02-25T20:57:00Z	22503	2003	2	25	2057	-158.0155	22.7607	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot145.sum	8	114	302.7	35.3279	22.2667				1	35.3271	24.398		22.244	19	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_11	SAMN07137030	HOT145	33KI145_1	33KI145/1	2	3	PRS2	2003-02-25T20:57:00Z	22503	2003	2	25	2057	-158.0155	22.7607	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot145.sum	5	174.2	278.7	35.1483	20.0317				1	35.1561	24.875		19.9994	19	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_12	SAMN07137031	HOT146	33KB146_1	33KB146/1	2	3	PRS2	2003-03-28T21:56:00Z	32803	2003	3	28	2156	-157.998	22.748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot146.sum	14	8.3	270	35.2854	23.7519				1	35.2897	23.931		23.7502	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_12	SAMN07137032	HOT146	33KB146_1	33KB146/1	2	3	PRS2	2003-03-28T21:56:00Z	32803	2003	3	28	2156	-157.998	22.748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot146.sum	7	112.5	257.4	35.3292	21.8089				1	35.3376	24.528		21.7867	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_12	SAMN07137033	HOT146	33KB146_1	33KB146/1	2	3	PRS2	2003-03-28T21:56:00Z	32803	2003	3	28	2156	-157.998	22.748	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot146.sum	4	172.6	244.3	35.1154	19.6069				1	35.1183	24.961		19.5754	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_13	SAMN07137034	HOT147	33KI147_1	33KI147/1	2	3	PRS2	2003-04-23T20:55:00Z	42303	2003	4	23	2055	-157.9905	22.7565	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot147.sum	14	4.3	233.8	34.9769	24.6207				1	34.9858	23.439		24.6198	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
