Sample_event_ID	Archive_ID	organism	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	Station_Name	geographic location	bottle_id	sample_name	cruise_expedition	cruise_name	start_collection_date	depth_sample	latitude	longitude	filter_min 
S_E_8	SAMN07137019	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1650200419	S0522	HOT	HOT165	11/10/04	5	22.75	-158	0.2
S_E_8	SAMN07137020	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1650200409	S0523	HOT	HOT165	11/10/04	100	22.75	-158	0.2
S_E_8	SAMN07137021	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1650200404	S0524	HOT	HOT165	11/10/04	175	22.75	-158	0.2
S_E_9	SAMN07137022	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1660200514	S0525	HOT	HOT166	12/14/04	5	22.75	-158	0.2
S_E_9	SAMN07137023	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1660200508	S0526	HOT	HOT166	12/14/04	100	22.75	-158	0.2
S_E_9	SAMN07137024	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1660200504	S0527	HOT	HOT166	12/14/04	175	22.75	-158	0.2
S_E_10	SAMN07137025	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1440200914	S0528	HOT	HOT144	1/17/03	5	22.75	-158	0.2
S_E_10	SAMN07137026	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1440200906	S0529	HOT	HOT144	1/17/03	125	22.75	-158	0.2
S_E_10	SAMN07137027	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1440200904	S0530	HOT	HOT144	1/17/03	175	22.75	-158	0.2
S_E_11	SAMN07137028	marine metagenome	ocean biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	ALOHA	"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA"	1450200318	S0531	HOT	HOT145	2/25/03	5	22.75	-158	0.2
